param,median,lb,ub,antigen
mu.1.,5.450295071874331,5.394364821874331,5.5057950718743305,CHIKV E2
mu.2.,5.683555071874331,5.64888507187433,5.717805321874331,CHIKV E2
mu.3.,7.1375500718743305,6.894592821874331,7.31452432187433,CHIKV E2
sigma.1.,0.5186095,0.48164505,0.560489575,CHIKV E2
sigma.2.,0.349847,0.324462,0.37691735,CHIKV E2
sigma.3.,0.64788,0.53402165,0.7916268,CHIKV E2
theta.1.,0.01156555,5.1228665e-4,0.05023658,CHIKV E2
theta.2.,0.766558,0.7041653,0.81378005,CHIKV E2
theta.3.,0.218665,0.177309975,0.2753898,CHIKV E2
mu.1.,4.332317560336387,4.2512175603363875,4.414747810336387,CHIKV VLP
mu.2.,5.288617560336387,5.217026560336388,5.390900810336387,CHIKV VLP
mu.3.,7.818372560336387,7.756966560336387,7.872697810336387,CHIKV VLP
sigma.1.,0.7632065,0.707420575,0.82583345,CHIKV VLP
sigma.2.,0.7700105,0.7003127,0.8244333,CHIKV VLP
sigma.3.,0.31885,0.2773652,0.3683103,CHIKV VLP
theta.1.,0.02735275,0.0010761105,0.113145025,CHIKV VLP
theta.2.,0.795331,0.703881975,0.83691545,CHIKV VLP
theta.3.,0.1755475,0.151099825,0.201829275,CHIKV VLP
mu.1.,5.198497095573893,5.109186845573894,5.290537845573894,DENV1 EDIII
mu.2.,5.926942095573894,5.857934345573893,6.000930595573894,DENV1 EDIII
mu.3.,7.055362095573894,6.065867595573893,8.650105595573894,DENV1 EDIII
sigma.1.,0.8479265,0.786758925,0.917539275,DENV1 EDIII
sigma.2.,0.648274,0.544497,0.70693325,DENV1 EDIII
sigma.3.,1.007095,0.356947075,1.546031,DENV1 EDIII
theta.1.,0.0535005,0.00268471475,0.15198875,DENV1 EDIII
theta.2.,0.890882,0.64767845,0.9777781,DENV1 EDIII
theta.3.,0.0446933,0.00762468675,0.27668865,DENV1 EDIII
mu.1.,4.100645,4.0613079999999995,4.1427605,DENV1 NS1
mu.2.,5.701180000000001,5.65916,5.74526075,DENV1 NS1
mu.3.,8.370595,8.321376749999999,8.4202935,DENV1 NS1
sigma.1.,0.4714195,0.44553595,0.49856735,DENV1 NS1
sigma.2.,0.561966,0.5117298250000001,0.623265725,DENV1 NS1
sigma.3.,0.710639,0.673908825,0.74915365,DENV1 NS1
theta.1.,0.1528735,0.13558884999999998,0.17043982500000002,DENV1 NS1
theta.2.,0.397163,0.372878425,0.4237421,DENV1 NS1
theta.3.,0.4497835,0.4302573,0.46953985,DENV1 NS1
mu.1.,4.993833442289903,4.887552942289903,5.104355192289903,DENV1 VLP
