term,DENV4 VLP,DENV3 VLP,DENV1 VLP,DENV2 VLP,YFV E,DENV1 NS1,DENV2 NS1,DENV3 NS1,JEV E,DENV4 NS1,ZIKV VLP,ZIKVSU NS1,USUV NS1,WNV NS1,YFV NS1,ZIKVU NS1,JEV NS1,WNV EDIII,DENV3 EDIII,DENV1 EDIII,DENV4 EDIII,DENV2 EDIII,ZIKVAS EDIII
DENV4 VLP,0,0.9866719720439663,0.9843745818185243,0.9783206050711384,0.9145718029530252,0.81808341597645,0.8157494404311888,0.8026111261292734,0.8698960974575988,0.7800764978195031,0.8004195487523977,0.5408501172061536,0.5297879827163481,0.5220944247290734,0.5284104221042646,0.4662132074949357,0.47527697790967255,0.09387816469218693,0.16991934266535902,0.12770954093308107,0.1283410294100514,0.13664210152495457,-0.04201025010860934
DENV3 VLP,0.9866719720439663,0,0.988210300634051,0.9794027661792468,0.9067066660532164,0.8122076873771792,0.8084682600460118,0.7960690373990703,0.84554118878364,0.7542620265261,0.7718494549403022,0.51040871945065025,0.4960281442375613,0.488189011353875,0.5083271819834594,0.43013389659278606,0.43847832202479986,0.05470425027709288,0.14935879299024052,0.10174164939268583,0.1003187999415268,0.12491012795229153,-0.0724855172176699
DENV1 VLP,0.9843745818185243,0.988210300634051,0,0.9816354277871238,0.9070752039609541,0.8202971969567321,0.8151000187126761,0.79976670764803,0.85675430212818,0.7577493827449633,0.7872403197126212,0.5222623741982914,0.5104692916805608,0.5028008169442275,0.5151752849963545,0.4492905129399398,0.4526581434837623,0.08084573184060853,0.16252500978347767,0.12509686044623977,0.11772619492114907,0.13300365032070863,-0.048149919970407656
DENV2 VLP,0.9783206050711384,0.9794027661792468,0.9816354277871238,0,0.9136473806130774,0.804163697907195,0.8077229411408543,0.7796618451066507,0.8648248730390783,0.7339145978179586,0.7857461308772951,0.5271435369675583,0.5081989850666071,0.4990456319104488,0.5141817720982174,0.44692955491482017,0.4558341481985085,0.08066680364156203,0.16053997681938345,0.12004307868016656,0.11911470941518841,0.13639214957985876,-0.048306751729560685
YFV E,0.9145718029530252,0.9067066660532164,0.9070752039609541,0.9136473806130774,0,0.7435867090790265,0.745228649296,0.731769775988601,0.8867168224547661,0.6905795547693852,0.7829411397310498,0.5420282375034765,0.5316934957474074,0.5182172962177232,0.5743494211034647,0.47241933934390357,0.4866171010674677,0.1198781318859732,0.19237969812275862,0.15771097304419696,0.16150737497868126,0.16580333114441162,-0.014009568737319853
DENV1 NS1,0.81808341597645,0.8122076873771792,0.8202971969567321,0.804163697907195,0.7435867090790265,0,0.9805674007855639,0.9572940047465663,0.7759841756663024,0.8808434823728772,0.7552431758825651,0.6334488886138837,0.6824506123992271,0.6944438285702904,0.5219611933498621,0.5992981712196274,0.6109773706938296,0.2955809454846429,0.23260778147440558,0.2482767440481895,0.20576249350741116,0.17014350385456942,0.10519098175757279
DENV2 NS1,0.8157494404311888,0.8084682600460118,0.8151000187126761,0.8077229411408543,0.745228649296,0.9805674007855639,0,0.9506286133780162,0.7821765654341349,0.87593268391436,0.7588250890087223,0.6373925547584927,0.6821263679081719,0.6978283623074045,0.5253391533588497,0.6027304878335861,0.6203926783952479,0.3057309286040663,0.2436567362974265,0.25616901857375507,0.21442645861723378,0.1810077303903769,0.11293628536985406
DENV3 NS1,0.8026111261292734,0.7960690373990703,0.79976670764803,0.7796618451066507,0.731769775988601,0.9572940047465663,0.9506286133780162,0,0.7756104563504213,0.9155318850808589,0.7557425302794695,0.6491506013718478,0.714964250280098,0.7334450395769841,0.547377324401982,0.6181788254583148,0.6467006999697964,0.3205431605960145,0.2508739187973854,0.26000990133861246,0.226396094454845,0.18465565258481303,0.13447707279352047
JEV E,0.8698960974575988,0.84554118878364,0.85675430212818,0.8648248730390783,0.8867168224547661,0.7759841756663024,0.7821765654341349,0.7756104563504213,0,0.7463808579244121,0.8639326725826347,0.6968236617578859,0.6832829928392794,0.6742381713147966,0.6221927511391615,0.6148752217717469,0.6365174218364054,0.33055531158201207,0.2977835366455983,0.29901946924576606,0.2811165445374075,0.22971993032857319,0.1593869138823659
DENV4 NS1,0.7800764978195031,0.7542620265261,0.7577493827449633,0.7339145978179586,0.6905795547693852,0.8808434823728772,0.87593268391436,0.9155318850808589,0.7463808579244121,0,0.7315355477285773,0.6043858167132364,0.6913370807385326,0.7214586007142189,0.5275146554684477,0.5876479302948525,0.6490060279404172,0.3536895852350719,0.25588718443682484,0.2740776075786518,0.24818965844265747,0.17949974479429856,0.1676895987492896
