xmin,xmax,xmid,count,density,n
4.5,4.6,4.55,1,0.02958579881656815,338
4.6,4.7,4.65,1,0.02958579881656789,338
4.7,4.8,4.75,8,0.2366863905325452,338
4.8,4.9,4.85,14,0.41420118343195045,338
4.9,5,4.95,25,0.7396449704142037,338
5,5.1,5.05,29,0.8579881656804763,338
5.1,5.2,5.15,39,1.1538461538461475,338
5.2,5.3,5.25,44,1.3017751479289985,338
5.3,5.4,5.35,41,1.2130177514792835,338
5.4,5.5,5.45,24,0.7100591715976355,338
5.5,5.6,5.55,26,0.7692307692307719,338
5.6,5.7,5.65,10,0.2958579881656789,338
5.7,5.8,5.75,17,0.5029585798816585,338
5.8,5.9,5.85,6,0.17751479289940733,338
5.9,6,5.95,10,0.2958579881656815,338
6,6.1,6.05,7,0.20710059171597706,338
6.1,6.2,6.15,6,0.17751479289940733,338
6.2,6.3,6.25,4,0.1183431952662726,338
6.3,6.4,6.35,1,0.02958579881656789,338
6.4,6.5,6.45,3,0.08875739644970444,338
6.5,6.6,6.55,8,0.2366863905325452,338
6.6,6.7,6.65,3,0.08875739644970367,338
6.7,6.800000000000001,6.75,2,0.05917159763313578,338
6.800000000000001,6.9,6.8500000000000005,0,0,338
6.9,7,6.95,0,0,338
7,7.1,7.05,1,0.02958579881656815,338
7.1,7.2,7.15,3,0.08875739644970367,338
7.2,7.300000000000001,7.25,3,0.08875739644970367,338
7.300000000000001,7.4,7.3500000000000005,1,0.02958579881656815,338
7.4,7.5,7.45,1,0.02958579881656815,338
