xmin,xmax,xmid,count,density,n
3.8000000000000003,4,3.9000000000000004,1,0.13157894736842124,38
4,4.2,4.1,0,0,38
4.2,4.4,4.300000000000001,0,0,38
4.4,4.6000000000000005,4.5,1,0.13157894736842093,38
4.6000000000000005,4.8,4.7,1,0.13157894736842152,38
4.8,5,4.9,0,0,38
5,5.2,5.1,1,0.13157894736842093,38
5.2,5.4,5.300000000000001,0,0,38
5.4,5.6,5.5,0,0,38
5.6,5.8,5.699999999999999,0,0,38
5.8,6,5.9,0,0,38
6,6.2,6.1,0,0,38
6.2,6.4,6.300000000000001,0,0,38
6.4,6.6,6.5,0,0,38
6.6,6.8,6.699999999999999,1,0.13157894736842093,38
6.8,7,6.9,0,0,38
7,7.2,7.1,4,0.5263157894736837,38
7.2,7.4,7.300000000000001,0,0,38
7.4,7.6,7.5,5,0.6578947368421076,38
7.6,7.8,7.699999999999999,5,0.6578947368421046,38
7.8,8,7.9,11,1.4473684210526303,38
8,8.2,8.1,7,0.9210526315789507,38
8.2,8.4,8.3,1,0.13157894736842035,38
