xmin,xmax,xmid,count,density,n
3.2,3.4000000000000004,3.3000000000000003,2,0.029585798816568018,338
3.4000000000000004,3.6,3.5,32,0.4733727810650894,338
3.6,3.8000000000000003,3.7,74,1.0946745562130167,338
3.8000000000000003,4,3.9000000000000004,72,1.0650887573964511,338
4,4.2,4.1,60,0.8875739644970405,338
4.2,4.4,4.300000000000001,34,0.5029585798816563,338
4.4,4.6000000000000005,4.5,17,0.25147928994082813,338
4.6000000000000005,4.800000000000001,4.700000000000001,13,0.19230769230769212,338
4.800000000000001,5,4.9,14,0.20710059171597706,338
5,5.2,5.1,12,0.1775147928994081,338
5.2,5.4,5.300000000000001,0,0,338
5.4,5.6000000000000005,5.5,2,0.029585798816568018,338
5.6000000000000005,5.800000000000001,5.700000000000001,1,0.014792899408284009,338
5.800000000000001,6,5.9,2,0.02958579881656815,338
6,6.2,6.1,1,0.014792899408284009,338
6.2,6.4,6.300000000000001,0,0,338
6.4,6.6000000000000005,6.5,1,0.014792899408284009,338
6.6000000000000005,6.800000000000001,6.700000000000001,0,0,338
6.800000000000001,7,6.9,0,0,338
7,7.2,7.1,0,0,338
7.2,7.4,7.300000000000001,0,0,338
7.4,7.6000000000000005,7.5,0,0,338
7.6000000000000005,7.800000000000001,7.700000000000001,1,0.014792899408284009,338
