xmin,xmax,xmid,count,density,n
3.2,3.4000000000000004,3.3000000000000003,9,0.012908777969018922,3486
3.4000000000000004,3.6,3.5,51,0.07314974182444073,3486
3.6,3.8000000000000003,3.7,94,0.13482501434308652,3486
3.8000000000000003,4,3.9000000000000004,84,0.12048192771084354,3486
4,4.2,4.1,73,0.1047045324153757,3486
4.2,4.4,4.300000000000001,92,0.13195639701663786,3486
4.4,4.6,4.5,86,0.12335054503729245,3486
4.6,4.8,4.699999999999999,85,0.1219162363740676,3486
4.8,5,4.9,92,0.13195639701663786,3486
5,5.2,5.1,100,0.14343086632243246,3486
5.2,5.4,5.300000000000001,160,0.22948938611589192,3486
5.4,5.6,5.5,181,0.2596098680436039,3486
5.6,5.8,5.699999999999999,227,0.3255880665519217,3486
5.8,6,5.9,221,0.31698221457257575,3486
6,6.199999999999999,6.1,132,0.1893287435456117,3486
6.199999999999999,6.4,6.3,79,0.11331038439472114,3486
6.4,6.6,6.5,72,0.10327022375215182,3486
6.6,6.8,6.699999999999999,53,0.0760183591508892,3486
6.8,7,6.9,58,0.08318990246701083,3486
7,7.199999999999999,7.1,51,0.07314974182444088,3486
7.199999999999999,7.3999999999999995,7.299999999999999,102,0.14629948364888112,3486
7.3999999999999995,7.6,7.5,96,0.13769363166953516,3486
7.6,7.8,7.699999999999999,112,0.16064257028112436,3486
7.8,8,7.9,103,0.14773379231210543,3486
8,8.2,8.1,106,0.1520367183017791,3486
8.2,8.399999999999999,8.299999999999999,110,0.1577739529546764,3486
8.399999999999999,8.6,8.5,145,0.20797475616752614,3486
8.6,8.8,8.7,162,0.23235800344233956,3486
8.8,9,8.9,185,0.26534710269650125,3486
9,9.2,9.1,223,0.3198508318990258,3486
9.2,9.399999999999999,9.299999999999999,95,0.13625932300631144,3486
9.399999999999999,9.6,9.5,38,0.054503729202524095,3486
9.6,9.8,9.7,7,0.010040160642570227,3486
9.8,10,9.9,2,0.002868617326448662,3486
