xmin,xmax,xmid,count,density,n
3,3.2,3.1,1,0.019607843137254884,255
3.2,3.4,3.3,1,0.01960784313725493,255
3.4,3.6,3.5,1,0.019607843137254884,255
3.6,3.8,3.7,5,0.09803921568627465,255
3.8,4,3.9,5,0.09803921568627443,255
4,4.2,4.1,4,0.07843137254901954,255
4.2,4.4,4.300000000000001,8,0.15686274509803907,255
4.4,4.6,4.5,16,0.3137254901960796,255
4.6,4.8,4.699999999999999,13,0.2549019607843135,255
4.8,5,4.9,16,0.31372549019607815,255
5,5.2,5.1,16,0.31372549019607815,255
5.2,5.4,5.300000000000001,13,0.2549019607843135,255
5.4,5.6,5.5,9,0.17647058823529477,255
5.6,5.800000000000001,5.7,8,0.15686274509803838,255
5.800000000000001,6,5.9,8,0.1568627450980398,255
6,6.2,6.1,8,0.15686274509803907,255
6.2,6.4,6.300000000000001,7,0.1372549019607842,255
6.4,6.6,6.5,2,0.03921568627450995,255
6.6,6.800000000000001,6.7,0,0,255
6.800000000000001,7,6.9,0,0,255
7,7.2,7.1,0,0,255
7.2,7.4,7.300000000000001,0,0,255
7.4,7.6000000000000005,7.5,9,0.17647058823529396,255
7.6000000000000005,7.800000000000001,7.700000000000001,8,0.15686274509803907,255
7.800000000000001,8,7.9,6,0.11764705882352984,255
8,8.2,8.1,11,0.2156862745098047,255
8.2,8.4,8.3,6,0.11764705882352879,255
8.4,8.600000000000001,8.5,11,0.21568627450980277,255
8.600000000000001,8.8,8.700000000000001,7,0.1372549019607848,255
8.8,9,8.9,10,0.19607843137254974,255
9,9.2,9.1,12,0.23529411764705968,255
9.2,9.4,9.3,14,0.27450980392156715,255
9.4,9.600000000000001,9.5,12,0.23529411764705757,255
9.600000000000001,9.8,9.700000000000001,7,0.1372549019607848,255
9.8,10,9.9,1,0.019607843137254975,255
