xmin,xmax,xmid,count,density,n
4.2,4.4,4.300000000000001,1,0.019607843137254884,255
4.4,4.6000000000000005,4.5,3,0.058823529411764656,255
4.6000000000000005,4.800000000000001,4.700000000000001,1,0.019607843137254884,255
4.800000000000001,5,4.9,2,0.03921568627450995,255
5,5.2,5.1,1,0.019607843137254884,255
5.2,5.4,5.300000000000001,1,0.019607843137254884,255
5.4,5.6000000000000005,5.5,3,0.058823529411764656,255
5.6000000000000005,5.800000000000001,5.700000000000001,4,0.07843137254901954,255
5.800000000000001,6,5.9,3,0.05882352941176492,255
6,6.2,6.1,0,0,255
6.2,6.4,6.300000000000001,0,0,255
6.4,6.6000000000000005,6.5,1,0.019607843137254884,255
6.6000000000000005,6.800000000000001,6.700000000000001,0,0,255
6.800000000000001,7,6.9,0,0,255
7,7.2,7.1,1,0.019607843137254884,255
7.2,7.4,7.300000000000001,0,0,255
7.4,7.6000000000000005,7.5,3,0.058823529411764656,255
7.6000000000000005,7.800000000000001,7.700000000000001,5,0.09803921568627443,255
7.800000000000001,8,7.9,2,0.03921568627450995,255
8,8.2,8.1,1,0.019607843137254975,255
8.2,8.4,8.3,3,0.05882352941176439,255
8.4,8.600000000000001,8.5,6,0.11764705882352879,255
8.600000000000001,8.8,8.700000000000001,4,0.0784313725490199,255
8.8,9,8.9,8,0.1568627450980398,255
9,9.2,9.1,11,0.2156862745098047,255
9.2,9.4,9.3,16,0.31372549019607676,255
9.4,9.600000000000001,9.5,27,0.5294117647058796,255
9.600000000000001,9.8,9.700000000000001,43,0.8431372549019638,255
9.8,10,9.9,69,1.3529411764705932,255
10,10.2,10.1,34,0.6666666666666691,255
10.2,10.4,10.3,2,0.039215686274509595,255
