xmin,xmax,xmid,count,density,n
3,3.2,3.1,5,0.07396449704142005,338
3.2,3.4,3.3,11,0.16272189349112448,338
3.4,3.6,3.5,24,0.3550295857988162,338
3.6,3.8,3.7,30,0.4437869822485213,338
3.8,4,3.9,23,0.34023668639053223,338
4,4.2,4.1,25,0.36982248520710026,338
4.2,4.4,4.300000000000001,24,0.3550295857988162,338
4.4,4.6,4.5,30,0.44378698224852225,338
4.6,4.8,4.699999999999999,24,0.3550295857988162,338
4.8,5,4.9,19,0.28106508875739616,338
5,5.2,5.1,10,0.1479289940828401,338
5.2,5.4,5.300000000000001,8,0.11834319526627207,338
5.4,5.6,5.5,7,0.10355029585798853,338
5.6,5.800000000000001,5.7,8,0.11834319526627156,338
5.800000000000001,6,5.9,10,0.14792899408284074,338
6,6.2,6.1,11,0.1627218934911241,338
6.2,6.4,6.300000000000001,11,0.1627218934911241,338
6.4,6.6,6.5,6,0.08875739644970444,338
6.6,6.800000000000001,6.7,6,0.08875739644970367,338
6.800000000000001,7,6.9,9,0.13313609467455667,338
7,7.2,7.1,10,0.1479289940828401,338
7.2,7.4,7.300000000000001,3,0.04437869822485203,338
7.4,7.6000000000000005,7.5,7,0.10355029585798807,338
7.6000000000000005,7.800000000000001,7.700000000000001,3,0.04437869822485203,338
7.800000000000001,8,7.9,3,0.04437869822485222,338
8,8.2,8.1,3,0.04437869822485222,338
8.2,8.4,8.3,1,0.014792899408283945,338
8.4,8.600000000000001,8.5,3,0.04437869822485183,338
8.600000000000001,8.8,8.700000000000001,0,0,338
8.8,9,8.9,1,0.014792899408284075,338
9,9.2,9.1,0,0,338
9.2,9.4,9.3,1,0.014792899408283945,338
9.4,9.600000000000001,9.5,0,0,338
9.600000000000001,9.8,9.700000000000001,2,0.02958579881656815,338
