xmin,xmax,xmid,count,density,n
3.2,3.4000000000000004,3.3000000000000003,5,0.07396449704142005,338
3.4000000000000004,3.6,3.5,15,0.22189349112426066,338
3.6,3.8000000000000003,3.7,55,0.8136094674556205,338
3.8000000000000003,4,3.9000000000000004,71,1.0502958579881672,338
4,4.2,4.1,43,0.6360946745562124,338
4.2,4.4,4.300000000000001,28,0.4142011834319523,338
4.4,4.6000000000000005,4.5,24,0.3550295857988162,338
4.6000000000000005,4.800000000000001,4.700000000000001,27,0.39940828402366824,338
4.800000000000001,5,4.9,12,0.17751479289940889,338
5,5.2,5.1,17,0.25147928994082813,338
5.2,5.4,5.300000000000001,10,0.1479289940828401,338
5.4,5.6000000000000005,5.5,5,0.07396449704142005,338
5.6000000000000005,5.800000000000001,5.700000000000001,5,0.07396449704142005,338
5.800000000000001,6,5.9,4,0.0591715976331363,338
6,6.2,6.1,4,0.059171597633136036,338
6.2,6.4,6.300000000000001,1,0.014792899408284009,338
6.4,6.6000000000000005,6.5,4,0.059171597633136036,338
6.6000000000000005,6.800000000000001,6.700000000000001,1,0.014792899408284009,338
6.800000000000001,7,6.9,2,0.02958579881656815,338
7,7.2,7.1,4,0.059171597633136036,338
7.2,7.4,7.300000000000001,0,0,338
7.4,7.6000000000000005,7.5,1,0.014792899408284009,338
