xmin,xmax,xmid,count,density,n
3.2,3.4000000000000004,3.3000000000000003,1,0.019607843137254884,255
3.4000000000000004,3.6,3.5,0,0,255
3.6,3.8000000000000003,3.7,4,0.07843137254901954,255
3.8000000000000003,4,3.9000000000000004,6,0.11764705882352958,255
4,4.2,4.1,7,0.1372549019607842,255
4.2,4.4,4.300000000000001,7,0.1372549019607842,255
4.4,4.6000000000000005,4.5,9,0.17647058823529396,255
4.6000000000000005,4.800000000000001,4.700000000000001,11,0.21568627450980374,255
4.800000000000001,5,4.9,12,0.23529411764705968,255
5,5.2,5.1,11,0.21568627450980374,255
5.2,5.4,5.300000000000001,18,0.3529411764705879,255
5.4,5.6000000000000005,5.5,10,0.19607843137254885,255
5.6000000000000005,5.800000000000001,5.700000000000001,18,0.3529411764705879,255
5.800000000000001,6,5.9,15,0.2941176470588246,255
6,6.2,6.1,12,0.23529411764705863,255
6.2,6.4,6.300000000000001,18,0.3529411764705879,255
6.4,6.6000000000000005,6.5,6,0.11764705882352931,255
6.6000000000000005,6.800000000000001,6.700000000000001,12,0.23529411764705863,255
6.800000000000001,7,6.9,7,0.1372549019607848,255
7,7.2,7.1,8,0.15686274509803907,255
7.2,7.4,7.300000000000001,10,0.19607843137254885,255
7.4,7.6000000000000005,7.5,5,0.09803921568627443,255
7.6000000000000005,7.800000000000001,7.700000000000001,8,0.15686274509803907,255
7.800000000000001,8,7.9,2,0.03921568627450995,255
8,8.2,8.1,8,0.1568627450980398,255
8.2,8.4,8.3,4,0.07843137254901919,255
8.4,8.600000000000001,8.5,10,0.196078431372548,255
8.600000000000001,8.8,8.700000000000001,3,0.05882352941176492,255
8.8,9,8.9,5,0.09803921568627487,255
9,9.2,9.1,1,0.019607843137254975,255
9.2,9.4,9.3,7,0.13725490196078358,255
