xmin,xmax,xmid,count,density,n
2.8000000000000003,3.0000000000000004,2.9000000000000004,3,0.04437869822485203,338
3.0000000000000004,3.2,3.1000000000000005,11,0.16272189349112448,338
3.2,3.4000000000000004,3.3000000000000003,19,0.28106508875739616,338
3.4000000000000004,3.6,3.5,30,0.4437869822485213,338
3.6,3.8000000000000003,3.7,44,0.6508875739644964,338
3.8000000000000003,4,3.9000000000000004,52,0.7692307692307703,338
4,4.2,4.1,30,0.44378698224852026,338
4.2,4.4,4.300000000000001,19,0.28106508875739616,338
4.4,4.6,4.5,15,0.22189349112426113,338
4.6,4.8,4.699999999999999,14,0.20710059171597614,338
4.8,5,4.9,12,0.1775147928994081,338
5,5.2,5.1,10,0.1479289940828401,338
5.2,5.4,5.300000000000001,7,0.10355029585798807,338
5.4,5.6,5.5,7,0.10355029585798853,338
5.6,5.8,5.699999999999999,13,0.19230769230769212,338
5.8,6,5.9,10,0.1479289940828401,338
6,6.2,6.1,6,0.08875739644970405,338
6.2,6.4,6.300000000000001,6,0.08875739644970405,338
6.4,6.6,6.5,9,0.13313609467455667,338
6.6,6.8,6.699999999999999,4,0.059171597633136036,338
6.8,7,6.9,3,0.04437869822485203,338
7,7.199999999999999,7.1,2,0.02958579881656815,338
7.199999999999999,7.4,7.3,2,0.02958579881656789,338
7.4,7.6,7.5,4,0.0591715976331363,338
7.6,7.800000000000001,7.7,1,0.014792899408283945,338
7.800000000000001,8,7.9,3,0.04437869822485222,338
8,8.2,8.1,0,0,338
8.2,8.4,8.3,1,0.014792899408283945,338
8.4,8.6,8.5,0,0,338
8.6,8.799999999999999,8.7,0,0,338
8.799999999999999,9,8.899999999999999,1,0.014792899408283945,338
