xmin,xmax,xmid,count,density,n
3,3.2,3.1,1,0.0014343086632243247,3486
3.2,3.4,3.3,7,0.010040160642570295,3486
3.4,3.6,3.5,25,0.035857716580608115,3486
3.6,3.8,3.7,37,0.05306942053930013,3486
3.8,4,3.9,68,0.09753298909925408,3486
4,4.2,4.1,59,0.08462421113023515,3486
4.2,4.4,4.300000000000001,50,0.07171543316121623,3486
4.4,4.6,4.5,59,0.08462421113023552,3486
4.6,4.8,4.699999999999999,64,0.09179575444635678,3486
4.8,5,4.9,50,0.07171543316121623,3486
5,5.2,5.1,69,0.0989672977624784,3486
5.2,5.4,5.300000000000001,65,0.0932300631095811,3486
5.4,5.6,5.5,84,0.1204819277108438,3486
5.6,5.800000000000001,5.7,138,0.19793459552495593,3486
5.800000000000001,6,5.9,182,0.2610441767068282,3486
6,6.2,6.1,269,0.38582903040734334,3486
6.2,6.4,6.300000000000001,295,0.42312105565117575,3486
6.4,6.6,6.5,318,0.45611015490533724,3486
6.6,6.800000000000001,6.7,292,0.41881812966150095,3486
6.800000000000001,7,6.9,275,0.394434882386691,3486
7,7.2,7.1,346,0.4962707974756163,3486
7.2,7.4,7.300000000000001,357,0.5120481927710839,3486
7.4,7.6000000000000005,7.5,210,0.3012048192771082,3486
7.6000000000000005,7.800000000000001,7.700000000000001,110,0.1577739529546757,3486
7.800000000000001,8,7.9,39,0.055938037865748906,3486
8,8.2,8.1,12,0.01721170395869197,3486
8.2,8.4,8.3,5,0.007171543316121591,3486
