xmin,xmax,xmid,count,density,n
3,3.1,3.05,6,0.1775147928994081,338
3.1,3.2,3.1500000000000004,4,0.11834319526627207,338
3.2,3.3,3.25,26,0.7692307692307719,338
3.3,3.4,3.3499999999999996,27,0.7988165680473365,338
3.4,3.5,3.45,37,1.0946745562130167,338
3.5,3.6,3.55,47,1.3905325443786969,338
3.6,3.7,3.6500000000000004,32,0.9467455621301766,338
3.7,3.8,3.75,33,0.9763313609467489,338
3.8,3.9,3.8499999999999996,29,0.8579881656804725,338
3.9,4,3.95,16,0.4733727810650883,338
4,4.1,4.05,25,0.7396449704142037,338
4.1,4.2,4.15,11,0.3254437869822468,338
4.2,4.3,4.25,6,0.17751479289940889,338
4.3,4.4,4.35,9,0.266272189349111,338
4.4,4.5,4.45,6,0.17751479289940889,338
4.5,4.6,4.55,3,0.08875739644970444,338
4.6,4.7,4.65,7,0.20710059171597522,338
4.7,4.8,4.75,2,0.0591715976331363,338
4.8,4.9,4.85,3,0.08875739644970367,338
4.9,5,4.95,2,0.0591715976331363,338
5,5.1,5.05,2,0.0591715976331363,338
5.1,5.2,5.15,2,0.05917159763313578,338
5.2,5.300000000000001,5.25,0,0,338
5.300000000000001,5.4,5.3500000000000005,0,0,338
5.4,5.5,5.45,1,0.02958579881656815,338
5.5,5.6,5.55,0,0,338
5.6,5.7,5.65,1,0.02958579881656789,338
5.7,5.800000000000001,5.75,0,0,338
5.800000000000001,5.9,5.8500000000000005,1,0.02958579881656815,338
