xmin,xmax,xmid,count,density,n
3.4000000000000004,3.6000000000000005,3.5000000000000004,1,0.019607843137254884,255
3.6000000000000005,3.8000000000000003,3.7,8,0.15686274509803944,255
3.8000000000000003,4,3.9000000000000004,7,0.1372549019607845,255
4,4.2,4.1,7,0.1372549019607842,255
4.2,4.4,4.300000000000001,10,0.19607843137254885,255
4.4,4.6000000000000005,4.5,16,0.31372549019607815,255
4.6000000000000005,4.800000000000001,4.700000000000001,16,0.31372549019607815,255
4.800000000000001,5,4.9,20,0.3921568627450995,255
5,5.2,5.1,16,0.31372549019607815,255
5.2,5.4,5.300000000000001,9,0.17647058823529396,255
5.4,5.6000000000000005,5.5,13,0.2549019607843135,255
5.6000000000000005,5.800000000000001,5.700000000000001,10,0.19607843137254885,255
5.800000000000001,6,5.9,9,0.17647058823529477,255
6,6.200000000000001,6.1000000000000005,16,0.31372549019607676,255
6.200000000000001,6.4,6.300000000000001,9,0.17647058823529477,255
6.4,6.6000000000000005,6.5,5,0.09803921568627443,255
6.6000000000000005,6.800000000000001,6.700000000000001,5,0.09803921568627443,255
6.800000000000001,7,6.9,2,0.03921568627450995,255
7,7.200000000000001,7.1000000000000005,14,0.27450980392156715,255
7.200000000000001,7.4,7.300000000000001,17,0.33333333333333454,255
7.4,7.6000000000000005,7.5,7,0.1372549019607842,255
7.6000000000000005,7.800000000000001,7.700000000000001,11,0.21568627450980374,255
7.800000000000001,8,7.9,14,0.2745098039215696,255
8,8.200000000000001,8.100000000000001,4,0.07843137254901919,255
8.200000000000001,8.4,8.3,3,0.05882352941176492,255
8.4,8.600000000000001,8.5,4,0.07843137254901919,255
8.600000000000001,8.8,8.700000000000001,2,0.03921568627450995,255
