xmin,xmax,xmid,count,density,n
4.2,4.4,4.300000000000001,3,0.004302925989672974,3486
4.4,4.6000000000000005,4.5,0,0,3486
4.6000000000000005,4.8,4.7,4,0.005737234652897324,3486
4.8,5,4.9,51,0.07314974182444056,3486
5,5.2,5.1,207,0.2969018932874352,3486
5.2,5.4,5.300000000000001,420,0.6024096385542164,3486
5.4,5.6,5.5,520,0.7458405048766521,3486
5.6,5.8,5.699999999999999,539,0.7730923694779109,3486
5.8,6,5.9,497,0.7128514056224894,3486
6,6.2,6.1,389,0.5579460699942623,3486
6.2,6.4,6.300000000000001,179,0.2567412507171541,3486
6.4,6.6,6.5,94,0.1348250143430871,3486
6.6,6.8,6.699999999999999,54,0.07745266781411353,3486
6.8,7,6.9,73,0.1047045324153757,3486
7,7.199999999999999,7.1,85,0.12191623637406813,3486
7.199999999999999,7.4,7.3,91,0.13052208835341297,3486
7.4,7.6,7.5,80,0.11474469305794648,3486
7.6,7.8,7.699999999999999,64,0.09179575444635678,3486
7.8,8,7.9,48,0.06884681583476758,3486
8,8.2,8.1,34,0.048766494549627254,3486
8.2,8.399999999999999,8.299999999999999,35,0.050200803212851586,3486
8.399999999999999,8.6,8.5,16,0.022948938611589094,3486
8.6,8.8,8.7,2,0.0028686173264486367,3486
8.8,9,8.9,1,0.001434308663224331,3486
