xmin,xmax,xmid,count,density,n
3.4000000000000004,3.6000000000000005,3.5000000000000004,1,0.019607843137254884,255
3.6000000000000005,3.8000000000000003,3.7,1,0.01960784313725493,255
3.8000000000000003,4,3.9000000000000004,1,0.01960784313725493,255
4,4.2,4.1,3,0.058823529411764656,255
4.2,4.4,4.300000000000001,2,0.03921568627450977,255
4.4,4.6000000000000005,4.5,4,0.07843137254901954,255
4.6000000000000005,4.800000000000001,4.700000000000001,14,0.2745098039215684,255
4.800000000000001,5,4.9,17,0.33333333333333454,255
5,5.2,5.1,21,0.4117647058823526,255
5.2,5.4,5.300000000000001,23,0.45098039215686236,255
5.4,5.6000000000000005,5.5,24,0.47058823529411725,255
5.6000000000000005,5.800000000000001,5.700000000000001,36,0.7058823529411759,255
5.800000000000001,6,5.9,25,0.4901960784313743,255
6,6.200000000000001,6.1000000000000005,25,0.49019607843137,255
6.200000000000001,6.4,6.300000000000001,17,0.33333333333333454,255
6.4,6.6000000000000005,6.5,15,0.29411764705882326,255
6.6000000000000005,6.800000000000001,6.700000000000001,7,0.1372549019607842,255
6.800000000000001,7,6.9,4,0.0784313725490199,255
7,7.200000000000001,7.1000000000000005,7,0.13725490196078358,255
7.200000000000001,7.4,7.300000000000001,4,0.0784313725490199,255
7.4,7.6000000000000005,7.5,2,0.03921568627450977,255
7.6000000000000005,7.800000000000001,7.700000000000001,2,0.03921568627450977,255
