xmin,xmax,xmid,count,density,n
3.2,3.4000000000000004,3.3000000000000003,8,0.011474469305794597,3486
3.4000000000000004,3.6,3.5,9,0.012908777969018952,3486
3.6,3.8000000000000003,3.7,7,0.010040160642570272,3486
3.8000000000000003,4,3.9000000000000004,22,0.03155479059093522,3486
4,4.2,4.1,31,0.044463568559954064,3486
4.2,4.4,4.300000000000001,43,0.061675272518645956,3486
4.4,4.6000000000000005,4.5,51,0.07314974182444056,3486
4.6000000000000005,4.800000000000001,4.700000000000001,67,0.09609868043602975,3486
4.800000000000001,5,4.9,66,0.09466437177280584,3486
5,5.2,5.1,85,0.1219162363740676,3486
5.2,5.4,5.300000000000001,90,0.12908777969018922,3486
5.4,5.6000000000000005,5.5,90,0.12908777969018922,3486
5.6000000000000005,5.800000000000001,5.700000000000001,78,0.11187607573149733,3486
5.800000000000001,6,5.9,70,0.10040160642570317,3486
6,6.2,6.1,23,0.032989099254159465,3486
6.2,6.4,6.300000000000001,17,0.02438324727481352,3486
6.4,6.6000000000000005,6.5,10,0.014343086632243245,3486
6.6000000000000005,6.800000000000001,6.700000000000001,12,0.017211703958691895,3486
6.800000000000001,7,6.9,27,0.03872633390705694,3486
7,7.2,7.1,53,0.0760183591508892,3486
7.2,7.4,7.300000000000001,47,0.06741250717154326,3486
7.4,7.6000000000000005,7.5,72,0.10327022375215138,3486
7.6000000000000005,7.800000000000001,7.700000000000001,72,0.10327022375215138,3486
7.800000000000001,8,7.9,65,0.09323006310958151,3486
8,8.2,8.1,63,0.09036144578313285,3486
8.2,8.4,8.3,66,0.09466437177280501,3486
8.4,8.600000000000001,8.5,88,0.12621916236374,3486
8.600000000000001,8.8,8.700000000000001,106,0.1520367183017791,3486
8.8,9,8.9,152,0.2180149168100983,3486
9,9.2,9.1,163,0.23379231210556595,3486
9.2,9.4,9.3,242,0.347102696500285,3486
9.4,9.600000000000001,9.5,366,0.5249569707401005,3486
9.600000000000001,9.8,9.700000000000001,520,0.7458405048766521,3486
9.8,10,9.9,470,0.6741250717154356,3486
10,10.2,10.1,132,0.1893287435456117,3486
10.2,10.4,10.3,3,0.004302925989672955,3486
