xmin,xmax,xmid,count,density,n
3,3.2,3.1,9,0.012908777969018922,3486
3.2,3.4,3.3,38,0.054503729202524456,3486
3.4,3.6,3.5,78,0.11187607573149733,3486
3.6,3.8,3.7,99,0.14199655765920846,3486
3.8,4,3.9,101,0.1448651749856568,3486
4,4.2,4.1,112,0.16064257028112436,3486
4.2,4.4,4.300000000000001,126,0.1807228915662649,3486
4.4,4.6,4.5,86,0.12335054503729245,3486
4.6,4.8,4.699999999999999,78,0.11187607573149733,3486
4.8,5,4.9,90,0.12908777969018922,3486
5,5.2,5.1,135,0.19363166953528382,3486
5.2,5.4,5.300000000000001,141,0.20223752151462976,3486
5.4,5.6,5.5,181,0.2596098680436039,3486
5.6,5.800000000000001,5.7,247,0.3542742398164066,3486
5.800000000000001,6,5.9,210,0.3012048192771095,3486
6,6.2,6.1,111,0.15920826161790003,3486
6.2,6.4,6.300000000000001,89,0.1276534710269649,3486
6.4,6.6,6.5,73,0.10470453241537615,3486
6.6,6.800000000000001,6.7,56,0.08032128514056182,3486
6.800000000000001,7,6.9,63,0.09036144578313285,3486
7,7.2,7.1,82,0.11761331038439461,3486
7.2,7.4,7.300000000000001,80,0.11474469305794596,3486
7.4,7.6000000000000005,7.5,90,0.12908777969018922,3486
7.6000000000000005,7.800000000000001,7.700000000000001,111,0.15920826161790003,3486
7.800000000000001,8,7.9,103,0.1477337923121061,3486
8,8.2,8.1,94,0.1348250143430871,3486
8.2,8.4,8.3,104,0.1491681009753291,3486
8.4,8.600000000000001,8.5,121,0.1735513482501425,3486
8.600000000000001,8.8,8.700000000000001,171,0.2452667814113606,3486
8.8,9,8.9,191,0.2739529546758472,3486
9,9.2,9.1,138,0.19793459552495768,3486
9.2,9.4,9.3,53,0.07601835915088886,3486
9.4,9.600000000000001,9.5,20,0.028686173264486366,3486
9.600000000000001,9.8,9.700000000000001,3,0.004302925989672993,3486
9.8,10,9.9,2,0.002868617326448662,3486
