xmin,xmax,xmid,count,density,n
3.6,3.8000000000000003,3.7,2,0.029585798816568018,338
3.8000000000000003,4,3.9000000000000004,5,0.07396449704142022,338
4,4.2,4.1,7,0.10355029585798807,338
4.2,4.4,4.300000000000001,13,0.19230769230769212,338
4.4,4.6000000000000005,4.5,30,0.44378698224852026,338
4.6000000000000005,4.800000000000001,4.700000000000001,36,0.5325443786982244,338
4.800000000000001,5,4.9,33,0.48816568047337444,338
5,5.2,5.1,34,0.5029585798816563,338
5.2,5.4,5.300000000000001,31,0.4585798816568043,338
5.4,5.6000000000000005,5.5,28,0.4142011834319523,338
5.6000000000000005,5.800000000000001,5.700000000000001,29,0.42899408284023627,338
5.800000000000001,6,5.9,20,0.2958579881656815,338
6,6.200000000000001,6.1000000000000005,16,0.23668639053254312,338
6.200000000000001,6.4,6.300000000000001,13,0.19230769230769298,338
6.4,6.6000000000000005,6.5,7,0.10355029585798807,338
6.6000000000000005,6.800000000000001,6.700000000000001,10,0.1479289940828401,338
6.800000000000001,7.000000000000001,6.9,6,0.08875739644970405,338
7.000000000000001,7.200000000000001,7.100000000000001,6,0.08875739644970405,338
7.200000000000001,7.4,7.300000000000001,2,0.02958579881656815,338
7.4,7.600000000000001,7.500000000000001,4,0.05917159763313578,338
7.600000000000001,7.800000000000001,7.700000000000001,1,0.014792899408284075,338
7.800000000000001,8.000000000000002,7.900000000000001,3,0.04437869822485183,338
8.000000000000002,8.200000000000001,8.100000000000001,1,0.014792899408284075,338
8.200000000000001,8.4,8.3,1,0.014792899408284075,338
