xmin,xmax,xmid,count,density,n
4.2,4.4,4.300000000000001,3,0.058823529411764656,255
4.4,4.6000000000000005,4.5,1,0.019607843137254884,255
4.6000000000000005,4.8,4.7,3,0.05882352941176492,255
4.8,5,4.9,0,0,255
5,5.2,5.1,0,0,255
5.2,5.4,5.300000000000001,5,0.09803921568627443,255
5.4,5.6,5.5,6,0.11764705882352984,255
5.6,5.8,5.699999999999999,2,0.03921568627450977,255
5.8,6,5.9,2,0.03921568627450977,255
6,6.2,6.1,2,0.03921568627450977,255
6.2,6.4,6.300000000000001,4,0.07843137254901954,255
6.4,6.6,6.5,5,0.09803921568627487,255
6.6,6.8,6.699999999999999,2,0.03921568627450977,255
6.8,7,6.9,2,0.03921568627450977,255
7,7.199999999999999,7.1,0,0,255
7.199999999999999,7.4,7.3,0,0,255
7.4,7.6,7.5,2,0.03921568627450995,255
7.6,7.8,7.699999999999999,6,0.11764705882352931,255
7.8,8,7.9,8,0.15686274509803907,255
8,8.2,8.1,11,0.2156862745098047,255
8.2,8.399999999999999,8.299999999999999,8,0.1568627450980398,255
8.399999999999999,8.6,8.5,15,0.294117647058822,255
8.6,8.8,8.7,17,0.3333333333333316,255
8.8,9,8.9,25,0.4901960784313743,255
9,9.2,9.1,32,0.6274509803921592,255
9.2,9.399999999999999,9.299999999999999,45,0.8823529411764738,255
9.399999999999999,9.6,9.5,38,0.7450980392156823,255
9.6,9.8,9.7,10,0.196078431372548,255
9.8,10,9.9,1,0.019607843137254975,255
