xmin,xmax,xmid,count,density,n
4,4.2,4.1,3,0.058823529411764656,255
4.2,4.4,4.300000000000001,2,0.03921568627450977,255
4.4,4.6,4.5,1,0.019607843137254975,255
4.6,4.8,4.699999999999999,7,0.1372549019607842,255
4.8,5,4.9,2,0.03921568627450977,255
5,5.2,5.1,1,0.019607843137254884,255
5.2,5.4,5.300000000000001,3,0.058823529411764656,255
5.4,5.6,5.5,9,0.17647058823529477,255
5.6,5.8,5.699999999999999,5,0.09803921568627443,255
5.8,6,5.9,11,0.21568627450980374,255
6,6.2,6.1,13,0.2549019607843135,255
6.2,6.4,6.300000000000001,16,0.31372549019607815,255
6.4,6.6,6.5,12,0.23529411764705968,255
6.6,6.800000000000001,6.7,4,0.07843137254901919,255
6.800000000000001,7,6.9,0,0,255
7,7.2,7.1,0,0,255
7.2,7.4,7.300000000000001,2,0.03921568627450977,255
7.4,7.6,7.5,8,0.1568627450980398,255
7.6,7.800000000000001,7.7,17,0.3333333333333316,255
7.800000000000001,8,7.9,25,0.4901960784313743,255
8,8.2,8.1,23,0.45098039215686436,255
8.2,8.4,8.3,20,0.392156862745096,255
8.4,8.600000000000001,8.5,25,0.49019607843137,255
8.600000000000001,8.8,8.700000000000001,15,0.2941176470588246,255
8.8,9,8.9,10,0.19607843137254974,255
9,9.2,9.1,7,0.1372549019607848,255
9.2,9.4,9.3,7,0.13725490196078358,255
9.4,9.600000000000001,9.5,4,0.07843137254901919,255
9.600000000000001,9.8,9.700000000000001,3,0.05882352941176492,255
