xmin,xmax,xmid,count,density,n
3.4000000000000004,3.6000000000000005,3.5000000000000004,11,0.01577739529546757,3486
3.6000000000000005,3.8000000000000003,3.7,17,0.024383247274813575,3486
3.8000000000000003,4,3.9000000000000004,22,0.03155479059093522,3486
4,4.2,4.1,35,0.050200803212851364,3486
4.2,4.4,4.300000000000001,37,0.053069420539300013,3486
4.4,4.6000000000000005,4.5,54,0.07745266781411353,3486
4.6000000000000005,4.800000000000001,4.700000000000001,61,0.0874928284566838,3486
4.800000000000001,5,4.9,52,0.07458405048766521,3486
5,5.2,5.1,55,0.07888697647733785,3486
5.2,5.4,5.300000000000001,68,0.09753298909925408,3486
5.4,5.6000000000000005,5.5,88,0.12621916236374056,3486
5.6000000000000005,5.800000000000001,5.700000000000001,147,0.21084337349397572,3486
5.800000000000001,6,5.9,173,0.24813539873780924,3486
6,6.200000000000001,6.1000000000000005,211,0.30263912794033115,3486
6.200000000000001,6.4,6.300000000000001,190,0.2725186460126229,3486
6.4,6.6000000000000005,6.5,170,0.2438324727481352,3486
6.6000000000000005,6.800000000000001,6.700000000000001,81,0.1161790017211703,3486
6.800000000000001,7,6.9,78,0.11187607573149781,3486
7,7.200000000000001,7.1000000000000005,87,0.12478485370051569,3486
7.200000000000001,7.4,7.300000000000001,137,0.19650028686173335,3486
7.4,7.6000000000000005,7.5,169,0.24239816408491086,3486
7.6000000000000005,7.800000000000001,7.700000000000001,265,0.380091795754446,3486
7.800000000000001,8,7.9,354,0.5077452667814132,3486
8,8.200000000000001,8.100000000000001,333,0.47762478485369797,3486
8.200000000000001,8.4,8.3,286,0.4102122776821586,3486
8.4,8.600000000000001,8.5,175,0.2510040160642557,3486
8.600000000000001,8.8,8.700000000000001,90,0.12908777969018978,3486
8.8,9,8.9,28,0.04016064257028126,3486
9,9.200000000000001,9.100000000000001,10,0.014343086632243183,3486
9.200000000000001,9.4,9.3,2,0.002868617326448662,3486
