xmin,xmax,xmid,count,density,n
4.2,4.4,4.300000000000001,1,0.13157894736842093,38
4.4,4.6000000000000005,4.5,1,0.13157894736842093,38
4.6000000000000005,4.8,4.7,0,0,38
4.8,5,4.9,0,0,38
5,5.2,5.1,0,0,38
5.2,5.4,5.300000000000001,1,0.13157894736842093,38
5.4,5.6,5.5,0,0,38
5.6,5.8,5.699999999999999,3,0.39473684210526283,38
5.8,6,5.9,4,0.5263157894736837,38
6,6.2,6.1,3,0.39473684210526283,38
6.2,6.4,6.300000000000001,2,0.26315789473684187,38
6.4,6.6,6.5,1,0.13157894736842152,38
6.6,6.8,6.699999999999999,3,0.39473684210526283,38
6.8,7,6.9,1,0.13157894736842093,38
7,7.199999999999999,7.1,3,0.39473684210526455,38
7.199999999999999,7.4,7.3,5,0.6578947368421018,38
7.4,7.6,7.5,2,0.26315789473684303,38
7.6,7.8,7.699999999999999,4,0.5263157894736837,38
7.8,8,7.9,0,0,38
8,8.2,8.1,1,0.13157894736842152,38
8.2,8.399999999999999,8.299999999999999,2,0.26315789473684303,38
8.399999999999999,8.6,8.5,1,0.13157894736842035,38
