xmin,xmax,xmid,count,density,n
3.2,3.4000000000000004,3.3000000000000003,3,0.004302925989672974,3486
3.4000000000000004,3.6,3.5,7,0.010040160642570295,3486
3.6,3.8000000000000003,3.7,17,0.02438324727481352,3486
3.8000000000000003,4,3.9000000000000004,20,0.028686173264486556,3486
4,4.2,4.1,39,0.05593803786574866,3486
4.2,4.4,4.300000000000001,84,0.12048192771084326,3486
4.4,4.6000000000000005,4.5,122,0.1749856569133676,3486
4.6000000000000005,4.800000000000001,4.700000000000001,212,0.3040734366035568,3486
4.800000000000001,5,4.9,243,0.34853700516351244,3486
5,5.2,5.1,278,0.39873780837636225,3486
5.2,5.4,5.300000000000001,337,0.4833620195065974,3486
5.4,5.6000000000000005,5.5,308,0.441767068273092,3486
5.6000000000000005,5.800000000000001,5.700000000000001,351,0.5034423407917379,3486
5.800000000000001,6,5.9,418,0.5995410212277703,3486
6,6.2,6.1,351,0.5034423407917379,3486
6.2,6.4,6.300000000000001,177,0.2538726333907055,3486
6.4,6.6000000000000005,6.5,62,0.08892713711990813,3486
6.6000000000000005,6.800000000000001,6.700000000000001,41,0.058806655192197306,3486
6.800000000000001,7,6.9,78,0.11187607573149781,3486
7,7.2,7.1,83,0.11904761904761894,3486
7.2,7.4,7.300000000000001,55,0.07888697647733785,3486
7.4,7.6000000000000005,7.5,60,0.08605851979345948,3486
7.6000000000000005,7.800000000000001,7.700000000000001,44,0.06310958118187028,3486
7.800000000000001,8,7.9,26,0.037292025243832606,3486
8,8.2,8.1,15,0.021514629948364963,3486
8.2,8.4,8.3,9,0.012908777969018865,3486
8.4,8.600000000000001,8.5,14,0.020080321285140455,3486
8.600000000000001,8.8,8.700000000000001,12,0.01721170395869197,3486
8.8,9,8.9,7,0.010040160642570316,3486
9,9.2,9.1,4,0.005737234652897324,3486
9.2,9.4,9.3,7,0.010040160642570227,3486
9.4,9.600000000000001,9.5,1,0.0014343086632243184,3486
9.600000000000001,9.8,9.700000000000001,1,0.001434308663224331,3486
