xmin,xmax,xmid,count,density,n
3.4000000000000004,3.5000000000000004,3.45,6,0.017211703958691895,3486
3.5000000000000004,3.6000000000000005,3.5500000000000007,29,0.08318990246701083,3486
3.6000000000000005,3.7,3.6500000000000004,26,0.07458405048766521,3486
3.7,3.8000000000000003,3.75,43,0.12335054503729191,3486
3.8000000000000003,3.9000000000000004,3.8500000000000005,55,0.1577739529546757,3486
3.9000000000000004,4,3.95,68,0.19506597819850902,3486
4,4.1000000000000005,4.050000000000001,81,0.23235800344233956,3486
4.1000000000000005,4.2,4.15,102,0.2925989672977635,3486
4.2,4.300000000000001,4.25,106,0.30407343660355546,3486
4.300000000000001,4.4,4.3500000000000005,122,0.34997131382673674,3486
4.4,4.5,4.45,134,0.3843947217441207,3486
4.5,4.6000000000000005,4.550000000000001,162,0.4647160068846791,3486
4.6000000000000005,4.7,4.65,153,0.43889845094664526,3486
4.7,4.800000000000001,4.75,155,0.4446356855995387,3486
4.800000000000001,4.9,4.8500000000000005,192,0.5507745266781431,3486
4.9,5,4.95,211,0.6052782558806676,3486
5,5.1000000000000005,5.050000000000001,194,0.5565117613310355,3486
5.1000000000000005,5.2,5.15,202,0.5794606999426297,3486
5.2,5.300000000000001,5.25,205,0.5880665519219705,3486
5.300000000000001,5.4,5.3500000000000005,186,0.5335628227194511,3486
5.4,5.5,5.45,145,0.41594951233505595,3486
5.5,5.6,5.55,113,0.32415375788869877,3486
5.6,5.7,5.65,68,0.1950659781985073,3486
5.7,5.800000000000001,5.75,65,0.1864601262191614,3486
5.800000000000001,5.9,5.8500000000000005,46,0.13195639701663844,3486
5.9,6,5.95,50,0.1434308663224331,3486
6,6.1,6.05,51,0.14629948364888176,3486
6.1,6.2,6.15,57,0.16351118760757227,3486
6.2,6.300000000000001,6.25,72,0.20654044750430184,3486
6.300000000000001,6.4,6.3500000000000005,95,0.2725186460126229,3486
6.4,6.5,6.45,78,0.22375215146299562,3486
6.5,6.6,6.55,79,0.2266207687894443,3486
6.6,6.7,6.65,64,0.18359150889271275,3486
6.7,6.800000000000001,6.75,40,0.11474469305794546,3486
6.800000000000001,6.9,6.8500000000000005,20,0.05737234652897324,3486
6.9,7,6.95,6,0.01721170395869197,3486
7,7.1,7.05,3,0.008605851979345986,3486
7.1,7.2,7.15,1,0.0028686173264486367,3486
7.2,7.3,7.25,0,0,3486
7.3,7.4,7.35,0,0,3486
7.4,7.5,7.45,1,0.002868617326448662,3486
