xmin,xmax,xmid,count,density,n
3,3.2,3.1,5,0.07396449704142005,338
3.2,3.4,3.3,28,0.4142011834319532,338
3.4,3.6,3.5,51,0.7544378698224845,338
3.6,3.8000000000000003,3.7,59,0.8727810650887565,338
3.8000000000000003,4,3.9000000000000004,39,0.5769230769230776,338
4,4.2,4.1,34,0.5029585798816563,338
4.2,4.4,4.300000000000001,24,0.3550295857988162,338
4.4,4.6000000000000005,4.5,21,0.3106508875739642,338
4.6000000000000005,4.800000000000001,4.700000000000001,22,0.3254437869822482,338
4.800000000000001,5,4.9,12,0.17751479289940889,338
5,5.200000000000001,5.1000000000000005,8,0.11834319526627156,338
5.200000000000001,5.4,5.300000000000001,7,0.10355029585798853,338
5.4,5.6000000000000005,5.5,3,0.04437869822485203,338
5.6000000000000005,5.800000000000001,5.700000000000001,6,0.08875739644970405,338
5.800000000000001,6,5.9,5,0.07396449704142037,338
6,6.200000000000001,6.1000000000000005,2,0.02958579881656789,338
6.200000000000001,6.4,6.300000000000001,1,0.014792899408284075,338
6.4,6.6000000000000005,6.5,4,0.059171597633136036,338
6.6000000000000005,6.800000000000001,6.700000000000001,1,0.014792899408284009,338
6.800000000000001,7.000000000000001,6.9,1,0.014792899408284009,338
7.000000000000001,7.200000000000001,7.100000000000001,2,0.029585798816568018,338
7.200000000000001,7.400000000000001,7.300000000000001,2,0.029585798816568018,338
7.400000000000001,7.6000000000000005,7.500000000000001,0,0,338
7.6000000000000005,7.800000000000001,7.700000000000001,1,0.014792899408284009,338
