xmin,xmax,xmid,count,density,n
3.6,3.8000000000000003,3.7,5,0.09803921568627443,255
3.8000000000000003,4,3.9000000000000004,6,0.11764705882352958,255
4,4.2,4.1,6,0.11764705882352931,255
4.2,4.4,4.300000000000001,8,0.15686274509803907,255
4.4,4.6,4.5,12,0.23529411764705968,255
4.6,4.800000000000001,4.7,11,0.21568627450980277,255
4.800000000000001,5,4.9,18,0.35294117647058953,255
5,5.2,5.1,12,0.23529411764705863,255
5.2,5.4,5.300000000000001,13,0.2549019607843135,255
5.4,5.6,5.5,18,0.35294117647058953,255
5.6,5.800000000000001,5.7,22,0.43137254901960553,255
5.800000000000001,6,5.9,10,0.19607843137254974,255
6,6.2,6.1,11,0.21568627450980374,255
6.2,6.4,6.300000000000001,10,0.19607843137254885,255
6.4,6.6,6.5,7,0.1372549019607848,255
6.6,6.800000000000001,6.7,2,0.039215686274509595,255
6.800000000000001,7,6.9,10,0.19607843137254974,255
7,7.2,7.1,14,0.2745098039215684,255
7.2,7.4,7.300000000000001,5,0.09803921568627443,255
7.4,7.6,7.5,4,0.0784313725490199,255
7.6,7.800000000000001,7.7,8,0.15686274509803838,255
7.800000000000001,8,7.9,4,0.0784313725490199,255
8,8.200000000000001,8.100000000000001,3,0.05882352941176439,255
8.200000000000001,8.4,8.3,7,0.1372549019607848,255
8.4,8.6,8.5,12,0.23529411764705968,255
8.6,8.8,8.7,8,0.15686274509803838,255
8.8,9,8.9,5,0.09803921568627487,255
9,9.200000000000001,9.100000000000001,3,0.05882352941176439,255
9.200000000000001,9.4,9.3,1,0.019607843137254975,255
