plot_id,study,age_cat,ymin,lower,middle,upper,ymax,title
plot_1,Peru,<5,31.3121720958737,45.77759171286803,61.63799713466987,107.16585896434393,349.6305057315243,CHIKV VLP
plot_1,Peru,5-9,24.72036918049075,48.32403554343451,67.0266887455557,103.31774255767638,275.6589436297447,CHIKV VLP
plot_1,Peru,10-17,26.838354871663306,51.73517532824998,74.16110754147228,134.15683965038087,510.88762973014275,CHIKV VLP
plot_1,Peru,18-39,34.05039465425942,80.73272289348323,149.97023969497718,339.503612256289,2333.923935412772,CHIKV VLP
plot_1,Peru,40-59,41.77843258120686,129.26272262610905,246.21362540887222,484.568486624264,2038.1358005130123,CHIKV VLP
plot_1,Peru,>59,82.0152411354311,249.54737196831294,403.16811249337877,581.3209366562264,1667.8368753439454,CHIKV VLP
plot_1,Senegal,<5,29.004065125043976,38.582304010159355,43.56456732797048,56.40948281776978,97.88871979702344,CHIKV VLP
plot_1,Senegal,5-9,108.79087650329588,184.41013135457928,242.88383786205395,288.3436259925055,522.2282997799749,CHIKV VLP
plot_1,Senegal,10-17,102.59413311293149,213.38031567687207,274.0987656629863,494.55458769414025,1705.528960800402,CHIKV VLP
plot_1,Senegal,18-39,42.52337313936147,280.75177678582133,643.5276949619134,3039.2570883312433,5317.126189287033,CHIKV VLP
plot_1,Senegal,40-59,180.69218515791428,421.1801024644081,2130.9887468750467,2978.3333017463933,4993.0890532953445,CHIKV VLP
plot_1,Senegal,>59,649.2394999939922,1287.0355658847448,1824.1596222344976,2372.9563143026708,5167.570575920641,CHIKV VLP
plot_1,French Guiana,18-39,39.10332629703329,125.40484672793718,201.57990513375657,403.30194119918946,2250.9092922284817,CHIKV VLP
plot_1,French Guiana,40-59,43.29111512744454,182.4034589886513,307.62195835977025,995.4319139388838,4905.103105549972,CHIKV VLP
plot_1,French Guiana,>59,103.68164382927759,244.10071995109817,448.11260293191754,581.489527185292,1803.0166181225572,CHIKV VLP
plot_1,New Caledonia,18-39,34.35194718312308,90.39423042492855,118.11934174564723,176.46126972801358,454.8004274948686,CHIKV VLP
plot_1,New Caledonia,40-59,44.82133770510893,104.52955750128338,160.59167525869057,248.73910426176684,879.6467336672343,CHIKV VLP
plot_1,New Caledonia,>59,62.71299839446714,108.12631213130585,185.6744386368193,272.95031356477347,944.6473459996688,CHIKV VLP
plot_2,Peru,<5,132.2627155027699,169.34553249485734,210.06783460697528,247.2893184686961,398.43185852475665,CHIKV E2
plot_2,Peru,5-9,123.78161462596408,177.7693034274575,207.9617430254529,255.39294407338363,423.240689608864,CHIKV E2
plot_2,Peru,10-17,130.90904706220215,171.5266127364901,202.0868277154812,239.45826710263475,382.7751778961673,CHIKV E2
plot_2,Peru,18-39,127.99871334615304,189.34353960993354,226.33485242070208,297.71800784189105,568.0037996593803,CHIKV E2
plot_2,Peru,40-59,138.43032641601908,210.59751681401093,251.9760881099555,332.72773427805134,645.0303410538006,CHIKV E2
plot_2,Peru,>59,150.88173143756583,241.80899253531527,278.9255095927958,369.9790677364475,675.5887145433192,CHIKV E2
plot_2,Senegal,<5,122.12800359971334,165.61894180973886,183.62893547228606,210.62270505886715,281.7598823205986,CHIKV E2
plot_2,Senegal,5-9,215.74182720095297,330.2916668039591,384.3575607734061,449.5462536165704,567.5830920212413,CHIKV E2
plot_2,Senegal,10-17,207.76411298958712,347.8672445545255,421.5286804911626,592.6238796611814,1314.444236412113,CHIKV E2
plot_2,Senegal,18-39,206.46630278307745,403.46362496170997,659.0515657800917,1872.1486578374754,5782.847111543983,CHIKV E2
plot_2,Senegal,40-59,237.7300908246237,475.87636434912014,993.1111624209909,1801.592688014916,4725.013411356347,CHIKV E2
plot_2,Senegal,>59,233.88755279839447,528.0208324695892,858.4312605928131,1291.8682338276813,4280.191602055301,CHIKV E2
plot_2,French Guiana,18-39,78.2009819180407,225.163578015163,296.8893495615778,473.24023655781315,1414.8668516014388,CHIKV E2
plot_2,French Guiana,40-59,70.34055031693224,258.9606780920706,368.046498612643,619.6338661068714,2288.4338640478554,CHIKV E2
plot_2,French Guiana,>59,236.9906211412593,281.6664896144426,315.3560810762174,421.8663980414178,485.0058951978578,CHIKV E2
plot_2,New Caledonia,18-39,180.39214349483578,254.55522548641005,294.9244274244462,354.98702211985943,570.6588512134567,CHIKV E2
plot_2,New Caledonia,40-59,161.88503414436045,254.91915701942048,301.5723493752831,374.0932651434672,657.7200356124,CHIKV E2
plot_2,New Caledonia,>59,198.51013170610736,266.3756585792473,320.9583148825761,387.38571136212363,521.4560426588705,CHIKV E2
plot_3,Peru,<5,35.44194744791605,46.00026477046,66.26718705564826,94.65570114305146,279.20306130268307,ONNV VLP
plot_3,Peru,5-9,35.19609080905995,51.00013135362803,65.45375238338966,89.37738153622962,207.19907738781663,ONNV VLP
plot_3,Peru,10-17,30.85327147977005,54.26063999730074,70.79100583314272,102.93746025296824,245.9120008313524,ONNV VLP
plot_3,Peru,18-39,35.74487007567602,77.28731400493008,111.22966398441903,162.02065247155767,433.5962853838356,ONNV VLP
plot_3,Peru,40-59,35.65266926551206,94.48961971193582,135.59370041670437,222.6660192102762,578.3675773193272,ONNV VLP
plot_3,Peru,>59,71.76286896664502,135.0212842791837,178.89595322719455,254.5251058577888,578.7801599712078,ONNV VLP
plot_3,Senegal,<5,31.583372735936706,36.25726198334793,47.76022218605063,56.981956524884204,111.31213074006958,ONNV VLP
plot_3,Senegal,5-9,87.41363615150486,136.05509497774548,174.37197120341528,204.19634651824364,282.5373263243261,ONNV VLP
plot_3,Senegal,10-17,89.67661014340001,154.22544709906805,196.1141899471069,292.507394892883,720.6551509985203,ONNV VLP
plot_3,Senegal,18-39,50.84152684321518,201.96735962295233,364.59187942621156,663.238576195596,1156.4325255849938,ONNV VLP
plot_3,Senegal,40-59,117.09366292609563,262.4725021689901,529.5321315581124,678.105508446515,1070.1928841173635,ONNV VLP
