antigen,seropos_threshold
CHIKV E2,6.382510282162565
CHIKV VLP,6.820447049569296
DENV1 EDIII,6.8942710955738935
DENV1 NS1,5.0415399999999995
DENV1 VLP,7.438888442289904
DENV2 EDIII,7.107410806706849
DENV2 NS1,5.571605
DENV2 VLP,8.017569133259698
DENV3 EDIII,7.148466480388471
DENV3 NS1,5.093539
DENV3 VLP,8.693959816891024
DENV4 EDIII,7.048627266821969
DENV4 NS1,5.242764
DENV4 VLP,7.436331963496132
JEV E,6.356502667300867
JEV NS1,5.708523
MAYV E2,6.81397791703031
MAYV NSP1,6.806052215859868
ONNV VLP,5.896993898557175
USUV NS1,5.738981
WNV EDIII,5.651602239043294
WNV NS1,5.700479
YFV E,7.434588594461491
YFV NS1,6.561665
ZIKV VLP,5.944226253264743
ZIKVAS EDIII,6.834394701764616
ZIKVSU NS1,4.65811
ZIKVU NS1,5.045548999999999
