antigen,seropos_threshold,model
DENV1 EDIII,6.8942710955738935,GMM
DENV1 NS1,5.10078788627194,GMM
DENV1 VLP,7.438888442289904,GMM
DENV2 EDIII,7.107410806706849,GMM
DENV2 NS1,5.671771206206241,GMM
DENV2 VLP,8.017569133259698,GMM
DENV3 EDIII,7.148466480388471,GMM
DENV3 NS1,5.189062902935648,GMM
DENV3 VLP,8.693959816891024,GMM
DENV4 EDIII,7.048627266821969,GMM
DENV4 NS1,5.320860284936064,GMM
DENV4 VLP,7.436331963496132,GMM
JEV E,6.356502667300867,GMM
JEV NS1,5.767120727901153,GMM
MAYV NSP1,6.806052215859868,GMM
USUV NS1,5.878791404173654,GMM
WNV EDIII,5.651602239043294,GMM
WNV NS1,6.6994596137709514,GMM
YFV NS1,6.771397672014265,GMM
ZIKV VLP,5.944226253264743,GMM
ZIKVAS EDIII,6.834394701764616,GMM
ZIKVSU NS1,4.561116015428592,GMM
ZIKVU NS1,5.067026403117027,GMM
CHIKV E2,6.382510282162565,GMM
CHIKV VLP,6.820447049569296,GMM
MAYV E2,6.81397791703031,GMM
ONNV VLP,5.896993898557175,GMM
YFV E,7.434588594461491,GMM
DENV1 EDIII,7.076885314501363,Weibull FMM
DENV1 NS1,5.2504239881484756,Weibull FMM
DENV1 VLP,7.9798815046400255,Weibull FMM
DENV2 EDIII,7.269758586674831,Weibull FMM
DENV2 NS1,5.864442824585863,Weibull FMM
DENV2 VLP,8.408276234953409,Weibull FMM
DENV3 EDIII,7.274360999234251,Weibull FMM
DENV3 NS1,5.370845334221711,Weibull FMM
DENV3 VLP,8.294810967310259,Weibull FMM
DENV4 EDIII,7.248894275685947,Weibull FMM
DENV4 NS1,5.496375534991773,Weibull FMM
DENV4 VLP,7.198655124070079,Weibull FMM
JEV E,6.653477724485865,Weibull FMM
JEV NS1,6.048768086305714,Weibull FMM
MAYV NSP1,6.971608072611049,Weibull FMM
USUV NS1,6.107031470361499,Weibull FMM
WNV EDIII,6.778181389027502,Weibull FMM
WNV NS1,6.062825176908735,Weibull FMM
YFV NS1,7.2158886566653075,Weibull FMM
ZIKV VLP,6.1848651080191175,Weibull FMM
ZIKVAS EDIII,7.323123484629221,Weibull FMM
ZIKVSU NS1,4.773369526508067,Weibull FMM
ZIKVU NS1,5.205669513329175,Weibull FMM
CHIKV E2,6.295044640770985,Weibull FMM
CHIKV VLP,6.635153688835501,Weibull FMM
MAYV E2,6.4835298784910425,Weibull FMM
ONNV VLP,5.708476296442642,Weibull FMM
YFV E,8.025782071602563,Weibull FMM
