antigen,site,age_cat,male,ymin,lower,middle,upper,ymax,n
CHIKV E2,French Guiana,18-39,Female,4.237675071874331,5.2917532922780435,5.534504413672719,5.8463059439845235,8.503825093424647,128
CHIKV E2,French Guiana,18-39,Male,4.3592822039691175,5.448236365965495,5.744935923289219,6.186956107264361,8.655947732833386,323
CHIKV E2,French Guiana,40-59,Female,4.8802306761555485,5.527507977942933,5.7555687049543405,6.31336104252477,8.491418467767195,94
CHIKV E2,French Guiana,40-59,Male,4.25334845068501,5.580028607607707,5.949819026153457,6.437450453556402,8.46716240512518,227
CHIKV E2,French Guiana,>59,Female,5.7520830244776775,5.8601025298359435,5.9681220351942095,6.076141540552475,6.184161045910741,2
CHIKV E2,French Guiana,>59,Male,5.468020567108458,5.552450336609538,5.753702416501402,5.965746552849558,7.500870219775544,13
CHIKV E2,New Caledonia,18-39,Female,5.222984940395415,5.549874238751436,5.681339169333526,5.8510220991041875,7.1919652286301465,156
CHIKV E2,New Caledonia,18-39,Male,5.008666246653708,5.516020543275194,5.72349337486194,5.9341813411800235,8.217843613858218,100
CHIKV E2,New Caledonia,40-59,Female,5.107324994070968,5.535752391291479,5.694601739159369,5.891130818749943,7.385630278684209,173
CHIKV E2,New Caledonia,40-59,Male,5.086886417524876,5.549111573265284,5.72755779177754,5.939268051378441,6.372685873408219,131
CHIKV E2,New Caledonia,>59,Female,5.290840140165272,5.639092801436018,5.765326832935979,5.937278322759609,8.125423970220272,25
CHIKV E2,New Caledonia,>59,Male,5.336977127532929,5.56183083270675,5.820203443161813,6.058491742320884,6.2566249806847,15
CHIKV E2,Peru,10-17,Female,4.93326809405636,5.155275419541896,5.287880597481262,5.489394149022783,6.785154745414538,80
CHIKV E2,Peru,10-17,Male,4.874502784830108,5.1373880371541425,5.325440268657082,5.469382803007548,6.354940583319021,73
CHIKV E2,Peru,18-39,Female,4.852020211885916,5.245446323900557,5.415315581737272,5.676460009259922,7.025760144750145,219
CHIKV E2,Peru,18-39,Male,4.882451329088457,5.241664715298937,5.470260312633771,5.774835467868799,7.196678727393306,76
CHIKV E2,Peru,40-59,Female,4.930367140682987,5.329976060146388,5.518887350828393,5.790195144321912,7.649567254918868,84
CHIKV E2,Peru,40-59,Male,4.95048869180803,5.3689692470205665,5.5448445413854,5.807324540770551,6.396446393548858,58
CHIKV E2,Peru,5-9,Female,4.900478271233369,5.2151618378790285,5.350454947535232,5.54662015616577,7.70344024485902,63
CHIKV E2,Peru,5-9,Male,4.818518840546417,5.152470474555858,5.332248983038659,5.526385830788929,7.244679679789733,63
CHIKV E2,Peru,<5,Female,4.884790213585497,5.09473238712802,5.350409270610899,5.577346045541715,6.381187923687543,23
CHIKV E2,Peru,<5,Male,4.919886425625774,5.1674048868870335,5.344451730379285,5.463750370371902,6.359386446469218,33
CHIKV E2,Peru,>59,Female,4.764257491021223,5.495983324643639,5.64338830752858,5.8511650666046595,7.296744835677727,50
CHIKV E2,Peru,>59,Male,5.016496294412926,5.472395997381651,5.63011386572316,6.007951889300788,6.75393375199629,58
CHIKV E2,Senegal,10-17,Female,5.384819878211435,5.853588957238127,6.055036737502508,6.482295440862493,8.867358502778202,154
CHIKV E2,Senegal,10-17,Male,5.336403363989435,5.846730673340135,6.028440039331324,6.380191934980417,8.331759455605727,126
CHIKV E2,Senegal,18-39,Female,5.330137216436816,6.002897050712838,6.633556102373498,7.595447283472407,8.55890285911819,234
CHIKV E2,Senegal,18-39,Male,5.43682466320175,5.994290366374535,6.272999448189372,7.451967010796511,8.662651420240692,125
CHIKV E2,Senegal,40-59,Female,5.471135957959591,6.252517176704132,7.01807359207433,7.575094907630533,8.46062567830611,124
CHIKV E2,Senegal,40-59,Male,5.5014831143488845,6.077952864124043,6.787655479435896,7.470243985086527,8.315631953345816,90
CHIKV E2,Senegal,5-9,Female,5.223572806977331,5.797443153172279,5.951133196096374,6.11051072798848,7.2353681561904,104
CHIKV E2,Senegal,5-9,Male,4.990665477483405,5.806788675961705,5.951573267185907,6.108238748765917,7.767430893854633,109
CHIKV E2,Senegal,<5,Female,4.930695917648446,5.13961963318077,5.276473156496774,5.374028244522014,6.134668721974382,44
CHIKV E2,Senegal,<5,Male,4.805069704531037,5.020308076338133,5.178851523738354,5.307208129462091,5.574010724460516,34
CHIKV E2,Senegal,>59,Female,5.705164250350521,6.383339182010072,6.835478151996418,7.208191697684288,8.312713272523247,42
CHIKV E2,Senegal,>59,Male,5.45484045626302,6.1740393134649025,6.551046208657481,7.018985030940315,8.361753054409188,33
CHIKV VLP,French Guiana,18-39,Female,3.6662075349083207,4.6426069892137845,5.173703199061444,5.61919043968655,8.36888037081657,128
CHIKV VLP,French Guiana,18-39,Male,3.8347542969457615,4.903385655410231,5.344624639337095,6.090912531118249,8.4331444303518,323
CHIKV VLP,French Guiana,40-59,Female,3.767947420591848,5.083551212833929,5.464849488144742,6.330741155853764,8.357231545247322,94
CHIKV VLP,French Guiana,40-59,Male,3.855585119925361,5.25663178514109,5.973953658552483,7.056343163913032,8.49803139227802,227
CHIKV VLP,French Guiana,>59,Female,4.641325087313131,5.044612029094538,5.447898970875945,5.851185912657353,6.2544728544387604,2
CHIKV VLP,French Guiana,>59,Male,5.211199246749249,5.516955428140015,6.105044546663087,6.367103057879774,7.858487332371014,13
CHIKV VLP,New Caledonia,18-39,Female,3.986293348257494,4.509325189613682,4.7574890060227375,5.100762627909677,8.03302715592185,156
CHIKV VLP,New Caledonia,18-39,Male,3.536658703615538,4.494235996328114,4.812068859291486,5.373643373357271,8.26134882194388,100
CHIKV VLP,New Caledonia,40-59,Female,3.882280293219652,4.649257234258387,5.01826865886052,5.54881762249353,7.178555931894694,173
CHIKV VLP,New Caledonia,40-59,Male,3.802684314092251,4.662571256087709,5.1479466665509275,5.469514730613536,7.144781282891685,131
CHIKV VLP,New Caledonia,>59,Female,4.346022748799122,4.8044892057892,5.276285485649455,5.4226613808069315,7.085520965554236,25
CHIKV VLP,New Caledonia,>59,Male,4.138568737069478,4.64981432306579,5.1106289035437324,5.835198459042257,6.2079793656603055,15
CHIKV VLP,Peru,10-17,Female,3.5200022520059964,4.010873722596368,4.30879872080564,4.7826027741731645,6.715814985160767,80
CHIKV VLP,Peru,10-17,Male,3.2898320163226717,3.909796371649578,4.297787250101607,4.922930023410977,6.966285966341243,73
CHIKV VLP,Peru,18-39,Female,3.527841622961816,4.378239729798734,4.969659761332028,5.695535532219516,7.530872130327365,219
CHIKV VLP,Peru,18-39,Male,3.6633873679302305,4.445642433678031,5.121417641555114,5.955967918756885,7.755306222518001,76
CHIKV VLP,Peru,40-59,Female,3.7323802394171817,4.877925719006262,5.439427763206963,6.150352633906465,7.556914706859798,84
CHIKV VLP,Peru,40-59,Male,3.880273803477268,4.831983926252979,5.624756583276733,6.194818398013347,7.619790845769291,58
CHIKV VLP,Peru,5-9,Female,3.56498362809196,3.883443156977984,4.249850405901841,4.628763784945274,7.933739572832894,63
CHIKV VLP,Peru,5-9,Male,3.207627566963843,3.8847168144469704,4.106794642859465,4.613537592639777,7.565616377916435,63
CHIKV VLP,Peru,<5,Female,3.511841281615375,3.8324269884621174,4.129161707060699,4.711380973021379,6.889082715177896,23
CHIKV VLP,Peru,<5,Male,3.444006906802186,3.813104370739475,4.077633237635762,4.526370453072944,6.031792809643166,33
CHIKV VLP,Peru,>59,Female,3.9330509348793337,5.445084273236249,5.963708610117593,6.371857736647591,7.7978081374203505,50
CHIKV VLP,Peru,>59,Male,4.406905097498286,5.536138381623775,6.029466714986745,6.346808242136756,7.41928278157991,58
CHIKV VLP,Senegal,10-17,Female,4.630780748966538,5.399073320120063,5.648346465919115,7.3073561166982515,8.600536598326649,154
CHIKV VLP,Senegal,10-17,Male,4.873594051005046,5.33933277301999,5.541526978143116,5.891643699255275,8.398941456931396,126
CHIKV VLP,Senegal,18-39,Female,3.750053880980141,5.623258155686472,7.490122527170341,8.02587148760327,8.569950855969017,234
CHIKV VLP,Senegal,18-39,Male,4.921382969198774,5.6695639675703475,6.000411270462519,8.000786514990274,8.578688246396876,125
CHIKV VLP,Senegal,40-59,Female,5.235096035692094,6.656699614318546,7.690566096078738,8.039240551085141,8.515810045970506,124
CHIKV VLP,Senegal,40-59,Male,5.196794949058741,5.773988432423829,7.619051960390529,7.966263919270296,8.247488408047959,90
CHIKV VLP,Senegal,5-9,Female,3.714962561168872,5.20509588388709,5.489953241076057,5.662482701377189,7.9614989014514865,104
CHIKV VLP,Senegal,5-9,Male,3.8327455968252546,5.2870979763061605,5.505336928644888,5.664152914710478,8.142401026298838,109
CHIKV VLP,Senegal,<5,Female,3.427280488717091,3.7027443698958677,3.816160737808036,4.116809398314947,6.057798056784214,44
CHIKV VLP,Senegal,<5,Male,3.367435996888289,3.611067834989384,3.731501814422965,3.869417742696114,5.687062555737187,34
CHIKV VLP,Senegal,>59,Female,5.198574705224292,7.208344654931207,7.58320290254628,7.779530385053655,8.55015794911542,42
CHIKV VLP,Senegal,>59,Male,4.613268834346579,7.05281283948784,7.50120514376441,7.762157149796821,8.298774199558302,33
DENV1 EDIII,French Guiana,18-39,Female,3.9896372352213176,5.478492565595909,5.834958499177068,6.382348297104063,9.372270922104986,128
DENV1 EDIII,French Guiana,18-39,Male,4.013849321892189,5.572413439002613,6.016399480905727,6.622099659957039,9.255971266364618,323
DENV1 EDIII,French Guiana,40-59,Female,4.698450532525663,5.697735177607606,5.977710113212876,6.510282912815159,9.105433862502071,94
DENV1 EDIII,French Guiana,40-59,Male,4.322576461471609,5.765232008065825,6.139551682143485,7.011270308380441,9.787737775415488,227
DENV1 EDIII,French Guiana,>59,Female,5.368872279742444,5.754644187372808,6.140416095003171,6.526188002633535,6.9119599102638976,2
DENV1 EDIII,French Guiana,>59,Male,4.963850195342386,5.890491478219312,6.174991489146934,6.384325845186957,8.135438119848363,13
DENV1 EDIII,New Caledonia,18-39,Female,4.77569373005223,5.380541094155187,5.6641509584477925,6.054738424844131,9.043308284431149,156
DENV1 EDIII,New Caledonia,18-39,Male,4.478907018630458,5.4241803147320935,5.8260602102127805,6.291236798948106,7.131382354915495,100
