antigen,site,age_cat,ymin,lower,middle,upper,ymax,n
CHIKV E2,French Guiana,18-39,4.237675071874331,5.41682715145892,5.693359508986104,6.15960315925393,8.655947732833386,451
CHIKV E2,French Guiana,40-59,4.25334845068501,5.556676228135068,5.90820928511248,6.429128765065274,8.491418467767195,321
CHIKV E2,French Guiana,>59,5.468020567108458,5.6407237101010885,5.753702416501402,6.044688671591169,7.500870219775544,15
CHIKV E2,New Caledonia,18-39,5.008666246653708,5.539517808467675,5.686719145298357,5.87208123139833,8.217843613858218,256
CHIKV E2,New Caledonia,40-59,5.086886417524876,5.540946463596991,5.709009952140777,5.924505138367849,7.385630278684209,304
CHIKV E2,New Caledonia,>59,5.290840140165272,5.584907562792064,5.771311254518562,5.959420866870184,8.125423970220272,40
CHIKV E2,Peru,10-17,4.874502784830108,5.144738430873462,5.30869744522203,5.478379151574275,6.785154745414538,153
CHIKV E2,Peru,18-39,4.852020211885916,5.243563034990639,5.4220155505942875,5.696146756087792,7.196678727393306,295
CHIKV E2,Peru,40-59,4.930367140682987,5.349948808623765,5.529334194556672,5.807324540770551,7.649567254918868,142
CHIKV E2,Peru,5-9,4.818518840546417,5.180486661534937,5.337354135022288,5.5428033162527655,7.70344024485902,126
CHIKV E2,Peru,<5,4.884790213585497,5.131941198607915,5.347430500495092,5.510558980989191,6.381187923687543,56
CHIKV E2,Peru,>59,4.764257491021223,5.488148127461517,5.630944755466176,5.913446430352641,7.296744835677727,108
CHIKV E2,Senegal,10-17,5.336403363989435,5.851820925826867,6.0438878189969305,6.384559930752125,8.867358502778202,280
CHIKV E2,Senegal,18-39,5.330137216436816,6.000086334852577,6.490801779969463,7.5348420651226,8.662651420240692,359
CHIKV E2,Senegal,40-59,5.471135957959591,6.165158081731113,6.900842603822976,7.496426379330851,8.46062567830611,214
CHIKV E2,Senegal,5-9,4.990665477483405,5.79997610290488,5.951573267185907,6.108238748765917,7.767430893854633,213
CHIKV E2,Senegal,<5,4.805069704531037,5.109689618318983,5.2129170663802995,5.35006840518432,6.134668721974382,78
CHIKV E2,Senegal,>59,5.45484045626302,6.2691357383627455,6.755106607933001,7.163844692940117,8.361753054409188,75
CHIKV VLP,French Guiana,18-39,3.6662075349083207,4.831547277594962,5.30618585431325,5.999685515156083,8.4331444303518,451
CHIKV VLP,French Guiana,40-59,3.767947420591848,5.2062210412139915,5.728871621168702,6.90317672733192,8.49803139227802,321
CHIKV VLP,French Guiana,>59,4.641325087313131,5.497580926805044,6.105044546663087,6.36559296179704,7.858487332371014,15
CHIKV VLP,New Caledonia,18-39,3.536658703615538,4.504180442628281,4.771695484100688,5.1731014173252134,8.26134882194388,256
CHIKV VLP,New Caledonia,40-59,3.802684314092251,4.649469878313456,5.078864964918176,5.516404573116621,7.178555931894694,304
CHIKV VLP,New Caledonia,>59,4.138568737069478,4.683300100496846,5.223994810186413,5.609289777026422,7.085520965554236,40
CHIKV VLP,Peru,10-17,3.2898320163226717,3.946137924018988,4.306239855631953,4.899009560666093,6.966285966341243,153
CHIKV VLP,Peru,18-39,3.527841622961816,4.391143981235053,5.010436872378484,5.8274845868723055,7.755306222518001,295
CHIKV VLP,Peru,40-59,3.7323802394171817,4.861846942788764,5.506199555065754,6.183258776602746,7.619790845769291,142
CHIKV VLP,Peru,5-9,3.207627566963843,3.8779290671804825,4.205090879560762,4.6378091189536805,7.933739572832894,126
CHIKV VLP,Peru,<5,3.444006906802186,3.8237947074803187,4.121278516975758,4.674377718101013,6.889082715177896,56
CHIKV VLP,Peru,>59,3.9330509348793337,5.519648764777468,5.999353627551761,6.3653029910142,7.7978081374203505,108
CHIKV VLP,Senegal,10-17,4.630780748966538,5.363076093173937,5.613488500062505,6.203657534644977,8.600536598326649,280
CHIKV VLP,Senegal,18-39,3.750053880980141,5.637470922310268,6.466965064123924,8.019368385696486,8.578688246396876,359
CHIKV VLP,Senegal,40-59,5.196794949058741,6.04306053903098,7.664341351406612,7.999119128319843,8.515810045970506,214
CHIKV VLP,Senegal,5-9,3.714962561168872,5.217162251883175,5.492583295556624,5.664152914710478,8.142401026298838,213
CHIKV VLP,Senegal,<5,3.367435996888289,3.6527937260199366,3.77424414399088,4.032637279437737,6.057798056784214,78
CHIKV VLP,Senegal,>59,4.613268834346579,7.160096841934377,7.508874678995274,7.771891846785764,8.55015794911542,75
DENV1 EDIII,French Guiana,18-39,3.9896372352213176,5.544066230787466,5.956848749345439,6.518755239149877,9.372270922104986,451
DENV1 EDIII,French Guiana,40-59,4.322576461471609,5.710492802841497,6.0883543795636905,6.860594933477051,9.787737775415488,321
