antigen,study,year,age_cat,median_group_age,method,x,n,mean,lower,upper,tpr,fpr,auc_med,group,spec,sens,adjusted_prev,site_year
CHIKV VLP,Peru,2018,<5,3,exact,1,56,0.017857142857142856,4.5200153052082914e-4,0.09552590263233962,0.9991485764094687,0.02275005167020094,0.9988653886875548,Alpha,0.9772499483297992,0.9991485764094687,0,Peru _ 2018
CHIKV VLP,Peru,2018,5-9,8,exact,4,126,0.031746031746031744,0.008716160791083949,0.07928800565262084,0.9991485764094687,0.02275005167020094,0.9988653886875548,Alpha,0.9772499483297992,0.9991485764094687,0.009213430630933243,Peru _ 2018
CHIKV VLP,Peru,2018,10-17,13,exact,1,153,0.006535947712418301,1.654621788018673e-4,0.03587654535465323,0.9991485764094687,0.02275005167020094,0.9988653886875548,Alpha,0.9772499483297992,0.9991485764094687,0,Peru _ 2018
CHIKV VLP,Peru,2018,18-39,29.5,exact,19,295,0.06440677966101695,0.03921909564728632,0.09875408282815656,0.9991485764094687,0.02275005167020094,0.9988653886875548,Alpha,0.9772499483297992,0.9991485764094687,0.0426636531450516,Peru _ 2018
CHIKV VLP,Peru,2018,40-59,49,exact,11,142,0.07746478873239436,0.03930378926582023,0.13437789409780532,0.9991485764094687,0.02275005167020094,0.9988653886875548,Alpha,0.9772499483297992,0.9991485764094687,0.056037300012107404,Peru _ 2018
CHIKV VLP,Peru,2018,>59,65,exact,10,108,0.09259259259259259,0.045299790597483236,0.1636939733393422,0.9991485764094687,0.02275005167020094,0.9988653886875548,Alpha,0.9772499483297992,0.9991485764094687,0.07153077268428083,Peru _ 2018
CHIKV VLP,Senegal,2016,<5,3,exact,0,78,0,0,0.04619242032804871,0.9991485764094687,0.02275005167020094,0.9988653886875548,Alpha,0.9772499483297992,0.9991485764094687,0,Senegal _ 2016
CHIKV VLP,Senegal,2016,5-9,8,exact,8,119,0.06722689075630252,0.029468535026432208,0.12816954961070048,0.9991485764094687,0.02275005167020094,0.9988653886875548,Alpha,0.9772499483297992,0.9991485764094687,0.045551931879432656,Senegal _ 2016
CHIKV VLP,Senegal,2016,10-17,13,exact,49,146,0.3356164383561644,0.25966695399412953,0.418390726613319,0.9991485764094687,0.02275005167020094,0.9988653886875548,Alpha,0.9772499483297992,0.9991485764094687,0.320428983410754,Senegal _ 2016
CHIKV VLP,Senegal,2016,18-39,29.5,exact,102,205,0.4975609756097561,0.42715036711571996,0.5680431326717035,0.9991485764094687,0.02275005167020094,0.9988653886875548,Alpha,0.9772499483297992,0.9991485764094687,0.48628803906309276,Senegal _ 2016
CHIKV VLP,Senegal,2016,40-59,49,exact,76,113,0.672566371681416,0.5779341003117818,0.7578995286513531,0.9991485764094687,0.02275005167020094,0.9988653886875548,Alpha,0.9772499483297992,0.9991485764094687,0.6655236602131682,Senegal _ 2016
CHIKV VLP,Senegal,2016,>59,65,exact,28,35,0.8,0.6306211554775546,0.9155939838394356,0.9991485764094687,0.02275005167020094,0.9988653886875548,Alpha,0.9772499483297992,0.9991485764094687,0.796037610295808,Senegal _ 2016
CHIKV VLP,Senegal,2018,5-9,8,exact,2,94,0.02127659574468085,0.0025871611133935213,0.07475176597758049,0.9991485764094687,0.02275005167020094,0.9988653886875548,Alpha,0.9772499483297992,0.9991485764094687,0,Senegal _ 2018
CHIKV VLP,Senegal,2018,10-17,13,exact,20,134,0.14925373134328357,0.0936154953639926,0.2210569347680772,0.9991485764094687,0.02275005167020094,0.9988653886875548,Alpha,0.9772499483297992,0.9991485764094687,0.12956152274693736,Senegal _ 2018
