xmin,xmax,xmid,count,density,n
4.7,4.8,4.75,1,0.26315789473684303,38
4.8,4.9,4.85,0,0,38
4.9,5,4.95,0,0,38
5,5.1000000000000005,5.050000000000001,0,0,38
5.1000000000000005,5.2,5.15,0,0,38
5.2,5.3,5.25,1,0.26315789473684303,38
5.3,5.4,5.35,0,0,38
5.4,5.5,5.45,0,0,38
5.5,5.6,5.55,1,0.26315789473684303,38
5.6,5.7,5.65,0,0,38
5.7,5.8,5.75,0,0,38
5.8,5.9,5.85,0,0,38
5.9,6,5.95,1,0.26315789473684303,38
6,6.1,6.05,0,0,38
6.1,6.2,6.15,3,0.7894736842105221,38
6.2,6.3,6.25,0,0,38
6.3,6.4,6.35,2,0.5263157894736814,38
6.4,6.5,6.45,1,0.26315789473684303,38
6.5,6.6,6.55,0,0,38
6.6,6.7,6.65,0,0,38
6.7,6.8,6.75,0,0,38
6.8,6.9,6.85,0,0,38
6.9,7,6.95,3,0.7894736842105291,38
7,7.1,7.05,1,0.26315789473684303,38
7.1,7.2,7.15,0,0,38
7.2,7.3,7.25,1,0.26315789473684303,38
7.3,7.4,7.35,4,1.0526315789473628,38
7.4,7.5,7.45,1,0.26315789473684303,38
7.5,7.6,7.55,0,0,38
7.6,7.699999999999999,7.6499999999999995,5,1.3157894736842153,38
7.699999999999999,7.8,7.75,2,0.5263157894736814,38
7.8,7.9,7.85,1,0.2631578947368407,38
7.9,8,7.95,1,0.26315789473684303,38
8,8.1,8.05,0,0,38
8.1,8.2,8.149999999999999,4,1.0526315789473721,38
8.2,8.3,8.25,3,0.7894736842105151,38
8.3,8.4,8.350000000000001,1,0.26315789473684303,38
8.4,8.5,8.45,0,0,38
8.5,8.6,8.55,1,0.26315789473684303,38
