xmin,xmax,xmid,count,density,n
3,3.2,3.1,1,0.014792899408284009,338
3.2,3.4,3.3,6,0.08875739644970426,338
3.4,3.6,3.5,32,0.4733727810650883,338
3.6,3.8,3.7,34,0.5029585798816575,338
3.8,4,3.9,61,0.9023668639053246,338
4,4.2,4.1,57,0.8431952662721885,338
4.2,4.4,4.300000000000001,33,0.48816568047337233,338
4.4,4.6,4.5,28,0.4142011834319541,338
4.6,4.8,4.699999999999999,23,0.34023668639053223,338
4.8,5,4.9,16,0.23668639053254414,338
5,5.2,5.1,11,0.1627218934911241,338
5.2,5.4,5.300000000000001,7,0.10355029585798807,338
5.4,5.6,5.5,6,0.08875739644970444,338
5.6,5.800000000000001,5.7,5,0.07396449704141972,338
5.800000000000001,6,5.9,3,0.04437869822485222,338
6,6.2,6.1,2,0.029585798816568018,338
6.2,6.4,6.300000000000001,3,0.04437869822485203,338
6.4,6.6,6.5,0,0,338
6.6,6.800000000000001,6.7,3,0.04437869822485183,338
6.800000000000001,7,6.9,3,0.04437869822485222,338
7,7.2,7.1,1,0.014792899408284009,338
7.2,7.4,7.300000000000001,0,0,338
7.4,7.6000000000000005,7.5,1,0.014792899408284009,338
7.6000000000000005,7.800000000000001,7.700000000000001,0,0,338
7.800000000000001,8,7.9,2,0.02958579881656815,338
