xmin,xmax,xmid,count,density,n
3.8000000000000003,4,3.9000000000000004,1,0.01960784313725493,255
4,4.2,4.1,2,0.03921568627450977,255
4.2,4.4,4.300000000000001,0,0,255
4.4,4.6000000000000005,4.5,6,0.11764705882352931,255
4.6000000000000005,4.8,4.7,9,0.17647058823529477,255
4.8,5,4.9,10,0.19607843137254885,255
5,5.2,5.1,18,0.3529411764705879,255
5.2,5.4,5.300000000000001,22,0.4313725490196075,255
5.4,5.6,5.5,34,0.6666666666666691,255
5.6,5.8,5.699999999999999,33,0.6470588235294112,255
5.8,6,5.9,27,0.5294117647058819,255
6,6.2,6.1,20,0.3921568627450977,255
6.2,6.4,6.300000000000001,13,0.2549019607843135,255
6.4,6.6,6.5,17,0.33333333333333454,255
6.6,6.8,6.699999999999999,11,0.21568627450980374,255
6.8,7,6.9,4,0.07843137254901954,255
7,7.2,7.1,7,0.1372549019607842,255
7.2,7.4,7.300000000000001,4,0.07843137254901954,255
7.4,7.6,7.5,5,0.09803921568627487,255
7.6,7.8,7.699999999999999,1,0.019607843137254884,255
7.8,8,7.9,2,0.03921568627450977,255
8,8.2,8.1,5,0.09803921568627487,255
8.2,8.4,8.3,1,0.019607843137254798,255
8.4,8.6,8.5,1,0.019607843137254975,255
8.6,8.8,8.7,0,0,255
8.8,9,8.9,2,0.03921568627450995,255
