xmin,xmax,xmid,count,density,n
3,3.2,3.1,1,0.014792899408284009,338
3.2,3.4,3.3,25,0.3698224852071011,338
3.4,3.6,3.5,54,0.7988165680473365,338
3.6,3.8,3.7,68,1.005917159763315,338
3.8,4,3.9,41,0.6065088757396444,338
4,4.2,4.1,49,0.7248520710059164,338
4.2,4.4,4.300000000000001,28,0.4142011834319523,338
4.4,4.6,4.5,19,0.28106508875739744,338
4.6,4.8,4.699999999999999,20,0.2958579881656802,338
4.8,5,4.9,11,0.1627218934911241,338
5,5.2,5.1,8,0.11834319526627207,338
5.2,5.4,5.300000000000001,3,0.04437869822485203,338
5.4,5.6,5.5,2,0.02958579881656815,338
5.6,5.800000000000001,5.7,3,0.04437869822485183,338
5.800000000000001,6,5.9,3,0.04437869822485222,338
6,6.2,6.1,1,0.014792899408284009,338
6.2,6.4,6.300000000000001,0,0,338
6.4,6.6,6.5,1,0.014792899408284075,338
6.6,6.800000000000001,6.7,0,0,338
6.800000000000001,7,6.9,0,0,338
7,7.2,7.1,0,0,338
7.2,7.4,7.300000000000001,0,0,338
7.4,7.6000000000000005,7.5,1,0.014792899408284009,338
