xmin,xmax,xmid,count,density,n
3.4000000000000004,3.6000000000000005,3.5000000000000004,7,0.1372549019607842,255
3.6000000000000005,3.8000000000000003,3.7,4,0.07843137254901972,255
3.8000000000000003,4,3.9000000000000004,14,0.274509803921569,255
4,4.2,4.1,23,0.45098039215686236,255
4.2,4.4,4.300000000000001,22,0.4313725490196075,255
4.4,4.6000000000000005,4.5,20,0.3921568627450977,255
4.6000000000000005,4.800000000000001,4.700000000000001,15,0.29411764705882326,255
4.800000000000001,5,4.9,15,0.2941176470588246,255
5,5.2,5.1,7,0.1372549019607842,255
5.2,5.4,5.300000000000001,1,0.019607843137254884,255
5.4,5.6,5.5,2,0.03921568627450995,255
5.6,5.800000000000001,5.7,1,0.019607843137254798,255
5.800000000000001,6,5.9,0,0,255
6,6.2,6.1,2,0.03921568627450977,255
6.2,6.4,6.300000000000001,2,0.03921568627450977,255
6.4,6.6,6.5,1,0.019607843137254975,255
6.6,6.800000000000001,6.7,0,0,255
6.800000000000001,7,6.9,1,0.019607843137254975,255
7,7.2,7.1,4,0.07843137254901954,255
7.2,7.4,7.300000000000001,8,0.15686274509803907,255
7.4,7.6,7.5,8,0.1568627450980398,255
7.6,7.8,7.699999999999999,10,0.19607843137254885,255
7.8,8,7.9,10,0.19607843137254885,255
8,8.2,8.1,7,0.1372549019607848,255
8.2,8.4,8.3,6,0.11764705882352879,255
8.4,8.6,8.5,9,0.17647058823529477,255
8.6,8.8,8.7,12,0.23529411764705757,255
8.8,9,8.9,12,0.23529411764705968,255
9,9.2,9.1,17,0.33333333333333454,255
9.2,9.399999999999999,9.299999999999999,8,0.1568627450980398,255
9.399999999999999,9.6,9.5,5,0.098039215686274,255
9.6,9.8,9.7,1,0.019607843137254798,255
9.8,10,9.9,1,0.019607843137254975,255
