xmin,xmax,xmid,count,density,n
3.2,3.4000000000000004,3.3000000000000003,1,0.0014343086632243247,3486
3.4000000000000004,3.6,3.5,1,0.001434308663224328,3486
3.6,3.8000000000000003,3.7,2,0.0028686173264486493,3486
3.8000000000000003,4,3.9000000000000004,4,0.005737234652897312,3486
4,4.2,4.1,15,0.02151462994836487,3486
4.2,4.4,4.300000000000001,19,0.02725186460126217,3486
4.4,4.6000000000000005,4.5,23,0.032989099254159465,3486
4.6000000000000005,4.800000000000001,4.700000000000001,34,0.04876649454962704,3486
4.800000000000001,5,4.9,42,0.0602409638554219,3486
5,5.2,5.1,54,0.07745266781411353,3486
5.2,5.4,5.300000000000001,60,0.08605851979345948,3486
5.4,5.6000000000000005,5.5,66,0.09466437177280543,3486
5.6000000000000005,5.800000000000001,5.700000000000001,78,0.11187607573149733,3486
5.800000000000001,6,5.9,99,0.14199655765920877,3486
6,6.2,6.1,103,0.14773379231210543,3486
6.2,6.4,6.300000000000001,61,0.0874928284566838,3486
6.4,6.6000000000000005,6.5,37,0.053069420539300013,3486
6.6000000000000005,6.800000000000001,6.700000000000001,28,0.04016064257028109,3486
6.800000000000001,7,6.9,43,0.061675272518646226,3486
7,7.2,7.1,66,0.09466437177280543,3486
7.2,7.4,7.300000000000001,68,0.09753298909925408,3486
7.4,7.6000000000000005,7.5,74,0.10613884107860003,3486
7.6000000000000005,7.800000000000001,7.700000000000001,66,0.09466437177280543,3486
7.800000000000001,8,7.9,69,0.09896729776247884,3486
8,8.2,8.1,55,0.0788869764773382,3486
8.2,8.4,8.3,65,0.0932300631095807,3486
8.4,8.600000000000001,8.5,71,0.1018359150889266,3486
8.600000000000001,8.8,8.700000000000001,110,0.1577739529546764,3486
8.8,9,8.9,135,0.19363166953528468,3486
9,9.2,9.1,170,0.24383247274813627,3486
9.2,9.4,9.3,207,0.2969018932874339,3486
9.4,9.600000000000001,9.5,330,0.47332185886402506,3486
9.600000000000001,9.8,9.700000000000001,436,0.6253585771658083,3486
9.8,10,9.9,562,0.806081468732074,3486
10,10.2,10.1,223,0.3198508318990258,3486
10.2,10.4,10.3,9,0.012908777969018865,3486
