xmin,xmax,xmid,count,density,n
3.2,3.4000000000000004,3.3000000000000003,8,0.011474469305794597,3486
3.4000000000000004,3.6,3.5,80,0.11474469305794623,3486
3.6,3.8000000000000003,3.7,101,0.1448651749856568,3486
3.8000000000000003,4,3.9000000000000004,109,0.15633964429145175,3486
4,4.2,4.1,98,0.14056224899598382,3486
4.2,4.4,4.300000000000001,109,0.1563396442914514,3486
4.4,4.6,4.5,102,0.14629948364888176,3486
4.6,4.8,4.699999999999999,95,0.13625932300631083,3486
4.8,5,4.9,101,0.1448651749856568,3486
5,5.2,5.1,104,0.14916810097532976,3486
5.2,5.4,5.300000000000001,138,0.1979345955249568,3486
5.4,5.6,5.5,189,0.2710843373493985,3486
5.6,5.8,5.699999999999999,242,0.3471026965002866,3486
5.8,6,5.9,325,0.4661503155479055,3486
6,6.199999999999999,6.1,193,0.27682157200229585,3486
6.199999999999999,6.4,6.3,116,0.16637980493402094,3486
6.4,6.6,6.5,90,0.12908777969018978,3486
6.6,6.8,6.699999999999999,85,0.1219162363740676,3486
6.8,7,6.9,60,0.08605851979345948,3486
7,7.199999999999999,7.1,65,0.09323006310958151,3486
7.199999999999999,7.3999999999999995,7.299999999999999,80,0.11474469305794596,3486
7.3999999999999995,7.6,7.5,96,0.13769363166953516,3486
7.6,7.8,7.699999999999999,84,0.12048192771084326,3486
7.8,8,7.9,82,0.11761331038439461,3486
8,8.2,8.1,82,0.11761331038439514,3486
8.2,8.399999999999999,8.299999999999999,109,0.15633964429145208,3486
8.399999999999999,8.6,8.5,119,0.17068273092369388,3486
8.6,8.8,8.7,131,0.1878944348823857,3486
8.8,9,8.9,133,0.19076305220883602,3486
9,9.2,9.1,102,0.14629948364888176,3486
9.2,9.399999999999999,9.299999999999999,44,0.06310958118187056,3486
9.399999999999999,9.6,9.5,12,0.01721170395869182,3486
9.6,9.8,9.7,1,0.0014343086632243184,3486
9.8,10,9.9,1,0.001434308663224331,3486
