xmin,xmax,xmid,count,density,n
3.2,3.4000000000000004,3.3000000000000003,3,0.04437869822485203,338
3.4000000000000004,3.6,3.5,25,0.3698224852071011,338
3.6,3.8000000000000003,3.7,34,0.5029585798816563,338
3.8000000000000003,4,3.9000000000000004,44,0.6508875739644979,338
4,4.2,4.1,48,0.7100591715976324,338
4.2,4.4,4.300000000000001,38,0.5621301775147923,338
4.4,4.6000000000000005,4.5,19,0.28106508875739616,338
4.6000000000000005,4.800000000000001,4.700000000000001,13,0.19230769230769212,338
4.800000000000001,5,4.9,19,0.28106508875739744,338
5,5.2,5.1,11,0.1627218934911241,338
5.2,5.4,5.300000000000001,10,0.1479289940828401,338
5.4,5.6000000000000005,5.5,13,0.19230769230769212,338
5.6000000000000005,5.800000000000001,5.700000000000001,11,0.1627218934911241,338
5.800000000000001,6,5.9,8,0.1183431952662726,338
6,6.2,6.1,9,0.1331360946745561,338
6.2,6.4,6.300000000000001,5,0.07396449704142005,338
6.4,6.6000000000000005,6.5,5,0.07396449704142005,338
6.6000000000000005,6.800000000000001,6.700000000000001,6,0.08875739644970405,338
6.800000000000001,7,6.9,2,0.02958579881656815,338
7,7.2,7.1,3,0.04437869822485203,338
7.2,7.4,7.300000000000001,5,0.07396449704142005,338
7.4,7.6000000000000005,7.5,1,0.014792899408284009,338
7.6000000000000005,7.800000000000001,7.700000000000001,2,0.029585798816568018,338
7.800000000000001,8,7.9,1,0.014792899408284075,338
8,8.2,8.1,0,0,338
8.2,8.4,8.3,0,0,338
8.4,8.600000000000001,8.5,0,0,338
8.600000000000001,8.8,8.700000000000001,0,0,338
8.8,9,8.9,1,0.014792899408284075,338
9,9.2,9.1,1,0.014792899408284075,338
9.2,9.4,9.3,1,0.014792899408283945,338
