xmin,xmax,xmid,count,density,n
3.2,3.4000000000000004,3.3000000000000003,1,0.0014343086632243247,3486
3.4000000000000004,3.6,3.5,8,0.011474469305794623,3486
3.6,3.8000000000000003,3.7,56,0.08032128514056218,3486
3.8000000000000003,4,3.9000000000000004,76,0.10900745840504891,3486
4,4.2,4.1,93,0.1333907056798622,3486
4.2,4.4,4.300000000000001,120,0.17211703958691896,3486
4.4,4.6,4.5,134,0.19219736087206035,3486
4.6,4.8,4.699999999999999,179,0.2567412507171541,3486
4.8,5,4.9,228,0.327022375215146,3486
5,5.2,5.1,258,0.3700516351118758,3486
5.2,5.4,5.300000000000001,259,0.3714859437751001,3486
5.4,5.6,5.5,254,0.36431440045898006,3486
5.6,5.8,5.699999999999999,270,0.38726333907056765,3486
5.8,6,5.9,261,0.37435456110154874,3486
6,6.199999999999999,6.1,225,0.32271944922547446,3486
6.199999999999999,6.4,6.3,133,0.19076305220883433,3486
6.4,6.6,6.5,95,0.13625932300631144,3486
6.6,6.8,6.699999999999999,71,0.10183591508892705,3486
6.8,7,6.9,70,0.10040160642570273,3486
7,7.199999999999999,7.1,88,0.12621916236374112,3486
7.199999999999999,7.3999999999999995,7.299999999999999,102,0.14629948364888112,3486
7.3999999999999995,7.6,7.5,102,0.14629948364888112,3486
7.6,7.8,7.699999999999999,90,0.12908777969018922,3486
7.8,8,7.9,75,0.10757314974182434,3486
8,8.2,8.1,50,0.07171543316121655,3486
8.2,8.399999999999999,8.299999999999999,54,0.07745266781411388,3486
8.399999999999999,8.6,8.5,43,0.061675272518645685,3486
8.6,8.8,8.7,19,0.027251864601262048,3486
8.8,9,8.9,29,0.041594951233505595,3486
9,9.2,9.1,25,0.035857716580608275,3486
9.2,9.399999999999999,9.299999999999999,12,0.01721170395869197,3486
9.399999999999999,9.6,9.5,4,0.0057372346528972735,3486
9.6,9.8,9.7,1,0.0014343086632243184,3486
9.8,10,9.9,1,0.001434308663224331,3486
