xmin,xmax,xmid,count,density,n
3.4000000000000004,3.6000000000000005,3.5000000000000004,9,0.012908777969018922,3486
3.6000000000000005,3.8000000000000003,3.7,57,0.08175559380378669,3486
3.8000000000000003,4,3.9000000000000004,96,0.13769363166953547,3486
4,4.2,4.1,91,0.13052208835341353,3486
4.2,4.4,4.300000000000001,95,0.13625932300631083,3486
4.4,4.6000000000000005,4.5,104,0.14916810097532976,3486
4.6000000000000005,4.800000000000001,4.700000000000001,128,0.18359150889271356,3486
4.800000000000001,5,4.9,148,0.21227768215720097,3486
5,5.2,5.1,158,0.2266207687894433,3486
5.2,5.4,5.300000000000001,174,0.2495697074010325,3486
5.4,5.6000000000000005,5.5,206,0.29546758462421086,3486
5.6000000000000005,5.800000000000001,5.700000000000001,295,0.42312105565117575,3486
5.800000000000001,6,5.9,342,0.4905335628227212,3486
6,6.200000000000001,6.1000000000000005,337,0.48336201950659524,3486
6.200000000000001,6.4,6.300000000000001,293,0.42025243832472897,3486
6.4,6.6000000000000005,6.5,179,0.2567412507171541,3486
6.6000000000000005,6.800000000000001,6.700000000000001,126,0.1807228915662649,3486
6.800000000000001,7,6.9,99,0.14199655765920877,3486
7,7.200000000000001,7.1000000000000005,106,0.15203671830177773,3486
7.200000000000001,7.4,7.300000000000001,77,0.11044176706827348,3486
7.4,7.6000000000000005,7.5,60,0.08605851979345948,3486
7.6000000000000005,7.800000000000001,7.700000000000001,77,0.110441767068273,3486
7.800000000000001,8,7.9,48,0.06884681583476789,3486
8,8.200000000000001,8.100000000000001,44,0.06310958118187,3486
8.200000000000001,8.4,8.3,40,0.05737234652897324,3486
8.4,8.600000000000001,8.5,46,0.06597819850831864,3486
8.600000000000001,8.8,8.700000000000001,24,0.03442340791738394,3486
8.8,9,8.9,20,0.02868617326448662,3486
9,9.200000000000001,9.100000000000001,5,0.007171543316121591,3486
9.200000000000001,9.4,9.3,2,0.002868617326448662,3486
