xmin,xmax,xmid,count,density,n
3.4000000000000004,3.6000000000000005,3.5000000000000004,2,0.03921568627450977,255
3.6000000000000005,3.8000000000000003,3.7,0,0,255
3.8000000000000003,4,3.9000000000000004,5,0.09803921568627465,255
4,4.2,4.1,23,0.45098039215686236,255
4.2,4.4,4.300000000000001,15,0.29411764705882326,255
4.4,4.6000000000000005,4.5,21,0.4117647058823526,255
4.6000000000000005,4.800000000000001,4.700000000000001,27,0.5294117647058819,255
4.800000000000001,5,4.9,27,0.5294117647058842,255
5,5.2,5.1,21,0.4117647058823526,255
5.2,5.4,5.300000000000001,21,0.4117647058823526,255
5.4,5.6000000000000005,5.5,17,0.33333333333333304,255
5.6000000000000005,5.800000000000001,5.700000000000001,13,0.2549019607843135,255
5.800000000000001,6,5.9,18,0.35294117647058953,255
6,6.200000000000001,6.1000000000000005,7,0.13725490196078358,255
6.200000000000001,6.4,6.300000000000001,8,0.1568627450980398,255
6.4,6.6000000000000005,6.5,3,0.058823529411764656,255
6.6000000000000005,6.800000000000001,6.700000000000001,5,0.09803921568627443,255
6.800000000000001,7,6.9,2,0.03921568627450995,255
7,7.200000000000001,7.1000000000000005,5,0.098039215686274,255
7.200000000000001,7.4,7.300000000000001,5,0.09803921568627487,255
7.4,7.6000000000000005,7.5,3,0.058823529411764656,255
7.6000000000000005,7.800000000000001,7.700000000000001,3,0.058823529411764656,255
7.800000000000001,8,7.9,1,0.019607843137254975,255
8,8.200000000000001,8.100000000000001,0,0,255
8.200000000000001,8.4,8.3,1,0.019607843137254975,255
8.4,8.600000000000001,8.5,1,0.019607843137254798,255
8.600000000000001,8.8,8.700000000000001,0,0,255
8.8,9,8.9,0,0,255
9,9.200000000000001,9.100000000000001,0,0,255
9.200000000000001,9.4,9.3,1,0.019607843137254975,255
